
filename,"10.1002adma.200601983.Isotherm10"
DOI,"10.1002/adma.200601983"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-081a0818678716f502aee0b58ac1b30a"
name,"Zeolite 4A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"196"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"ml/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00685903"
total_adsorption,"114.537"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"114.537"
line_id,"2"
pressure,"0.0428689"
total_adsorption,"154.185"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"154.185"
line_id,"3"
pressure,"0.214345"
total_adsorption,"162.445"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"162.445"
line_id,"4"
pressure,"0.38925"
total_adsorption,"162.445"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"162.445"
line_id,"5"
pressure,"0.507568"
total_adsorption,"162.996"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"162.996"
line_id,"6"
pressure,"0.627601"
total_adsorption,"164.097"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"164.097"
line_id,"7"
pressure,"0.756208"
total_adsorption,"163.546"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"163.546"
line_id,"8"
pressure,"0.898533"
total_adsorption,"162.996"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"162.996"
line_id,"9"
pressure,"0.99113"
total_adsorption,"164.097"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"164.097"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.00685903","1","114.537","114.537"
2,"0.0428689","1","154.185","154.185"
3,"0.214345","1","162.445","162.445"
4,"0.38925","1","162.445","162.445"
5,"0.507568","1","162.996","162.996"
6,"0.627601","1","164.097","164.097"
7,"0.756208","1","163.546","163.546"
8,"0.898533","1","162.996","162.996"
9,"0.99113","1","164.097","164.097"
