
filename,"10.1002Aic.14467.Isotherm19"
DOI,"10.1002/Aic.14467"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-367c1fc33062b7f842fdf3a5071148d9"
name,"Zeolite FAU"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"313"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0365854"
total_adsorption,"1.77636E-15"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.77636E-15"
line_id,"2"
pressure,"0.097561"
total_adsorption,"0.0543478"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0543478"
line_id,"3"
pressure,"0.252033"
total_adsorption,"0.108696"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.108696"
line_id,"4"
pressure,"0.504065"
total_adsorption,"0.163043"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.163043"
line_id,"5"
pressure,"0.747967"
total_adsorption,"0.271739"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.271739"
line_id,"6"
pressure,"1"
total_adsorption,"0.326087"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.326087"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0365854","1","1.77636E-15","1.77636E-15"
2,"0.097561","1","0.0543478","0.0543478"
3,"0.252033","1","0.108696","0.108696"
4,"0.504065","1","0.163043","0.163043"
5,"0.747967","1","0.271739","0.271739"
6,"1","1","0.326087","0.326087"
