
filename,"10.1002aic.690470520.Isotherm6"
DOI,"10.1002/aic.690470520"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"293"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.000112"
total_adsorption,"0.208793"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.208793"
line_id,"2"
pressure,"0.000173"
total_adsorption,"0.321916"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.321916"
line_id,"3"
pressure,"0.000184"
total_adsorption,"0.323033"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.323033"
line_id,"4"
pressure,"0.000303"
total_adsorption,"0.438145"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.438145"
line_id,"5"
pressure,"0.00037"
total_adsorption,"0.501513"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.501513"
line_id,"6"
pressure,"0.000459"
total_adsorption,"0.570083"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.570083"
line_id,"7"
pressure,"0.00061"
total_adsorption,"0.682586"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.682586"
line_id,"8"
pressure,"0.000863"
total_adsorption,"0.828693"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.828693"
line_id,"9"
pressure,"0.0010115"
total_adsorption,"0.878953"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.878953"
line_id,"10"
pressure,"0.00113791"
total_adsorption,"0.945266"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.945266"
line_id,"11"
pressure,"0.00153275"
total_adsorption,"1.07824"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.07824"
line_id,"12"
pressure,"0.00206459"
total_adsorption,"1.2172"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.2172"
line_id,"13"
pressure,"0.00255915"
total_adsorption,"1.31813"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.31813"
line_id,"14"
pressure,"0.00270498"
total_adsorption,"1.35048"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.35048"
line_id,"15"
pressure,"0.00351952"
total_adsorption,"1.48801"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.48801"
line_id,"16"
pressure,"0.00387795"
total_adsorption,"1.55116"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.55116"
line_id,"17"
pressure,"0.00461119"
total_adsorption,"1.65667"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.65667"
line_id,"18"
pressure,"0.00604146"
total_adsorption,"1.78166"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.78166"
line_id,"19"
pressure,"0.00866124"
total_adsorption,"2.03229"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.03229"
line_id,"20"
pressure,"0.0125034"
total_adsorption,"2.2705"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.2705"
line_id,"21"
pressure,"0.0175566"
total_adsorption,"2.51911"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.51911"
line_id,"22"
pressure,"0.0248234"
total_adsorption,"2.73746"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.73746"
line_id,"23"
pressure,"0.033206"
total_adsorption,"3.01624"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.01624"
line_id,"24"
pressure,"0.0435056"
total_adsorption,"3.27769"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.27769"
line_id,"25"
pressure,"0.0566064"
total_adsorption,"3.51279"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.51279"
line_id,"26"
pressure,"0.0741642"
total_adsorption,"3.73876"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.73876"
line_id,"27"
pressure,"0.0906648"
total_adsorption,"3.92452"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.92452"
line_id,"28"
pressure,"0.116344"
total_adsorption,"4.22061"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.22061"
line_id,"29"
pressure,"0.150333"
total_adsorption,"4.41499"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.41499"
line_id,"30"
pressure,"0.187639"
total_adsorption,"4.63435"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.63435"
line_id,"31"
pressure,"0.218529"
total_adsorption,"4.78109"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.78109"
line_id,"32"
pressure,"0.280423"
total_adsorption,"4.91542"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.91542"
line_id,"33"
pressure,"0.350012"
total_adsorption,"5.12403"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.12403"
line_id,"34"
pressure,"0.43086"
total_adsorption,"5.26799"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.26799"
line_id,"35"
pressure,"0.515888"
total_adsorption,"5.45365"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.45365"
line_id,"36"
pressure,"0.600815"
total_adsorption,"5.54892"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.54892"
line_id,"37"
pressure,"0.734489"
total_adsorption,"5.62633"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.62633"
line_id,"38"
pressure,"0.826282"
total_adsorption,"5.78441"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
