
filename,"10.1002ceat.270170507.Isotherm11"
DOI,"10.1002/ceat.270170507"
articleSource,"Figure 6"
date,"2020-12-31"
digitizer,"BISON-20 Team"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"303"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.242"
total_adsorption,"3.27"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.27"
line_id,"2"
pressure,"0.323"
total_adsorption,"3.9"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.9"
line_id,"3"
pressure,"0.404"
total_adsorption,"4.13"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.13"
line_id,"4"
pressure,"0.646"
total_adsorption,"4.26"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.26"
line_id,"5"
pressure,"1.05"
total_adsorption,"4.44"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.44"
line_id,"6"
pressure,"2.1"
total_adsorption,"4.52"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.52"
line_id,"7"
pressure,"2.83"
total_adsorption,"4.73"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.73"
line_id,"8"
pressure,"4.12"
total_adsorption,"4.83"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.83"
line_id,"9"
pressure,"5.17"
total_adsorption,"4.91"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.91"
line_id,"10"
pressure,"6.22"
total_adsorption,"4.99"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.99"
line_id,"11"
pressure,"7.35"
total_adsorption,"5.02"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.02"
line_id,"12"
pressure,"8.48"
total_adsorption,"5.04"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.04"
line_id,"13"
pressure,"9.53"
total_adsorption,"5.12"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.12"
line_id,"14"
pressure,"10.3"
total_adsorption,"5.12"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.12"
line_id,"15"
pressure,"11.6"
total_adsorption,"5.15"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.15"
line_id,"16"
pressure,"14.5"
total_adsorption,"5.23"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.23"
line_id,"17"
pressure,"20.4"
total_adsorption,"5.28"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.28"
line_id,"18"
pressure,"29.6"
total_adsorption,"5.31"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.31"
line_id,"19"
pressure,"40.6"
total_adsorption,"5.32"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.32"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.242","1","3.27","3.27"
2,"0.323","1","3.9","3.9"
3,"0.404","1","4.13","4.13"
4,"0.646","1","4.26","4.26"
5,"1.05","1","4.44","4.44"
6,"2.1","1","4.52","4.52"
7,"2.83","1","4.73","4.73"
8,"4.12","1","4.83","4.83"
9,"5.17","1","4.91","4.91"
10,"6.22","1","4.99","4.99"
11,"7.35","1","5.02","5.02"
12,"8.48","1","5.04","5.04"
13,"9.53","1","5.12","5.12"
14,"10.3","1","5.12","5.12"
15,"11.6","1","5.15","5.15"
16,"14.5","1","5.23","5.23"
17,"20.4","1","5.28","5.28"
18,"29.6","1","5.31","5.31"
19,"40.6","1","5.32","5.32"
