
filename,"10.1002cssc.201200907.isotherm3"
DOI,"10.1002/cssc.201200907"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-9ee35322ac5ddba224d845a03c651b29"
name,"Zeolite Na-A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00372489"
total_adsorption,"0.404918"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.404918"
line_id,"2"
pressure,"0.00515504"
total_adsorption,"0.798207"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.798207"
line_id,"3"
pressure,"0.00658518"
total_adsorption,"1.2344"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.2344"
line_id,"4"
pressure,"0.00658518"
total_adsorption,"1.67775"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.67775"
line_id,"5"
pressure,"0.00944547"
total_adsorption,"2.09249"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.09249"
line_id,"6"
pressure,"0.0123058"
total_adsorption,"2.49293"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.49293"
line_id,"7"
pressure,"0.0208866"
total_adsorption,"2.83616"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.83616"
line_id,"8"
pressure,"0.0409086"
total_adsorption,"3.09359"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.09359"
line_id,"9"
pressure,"0.0623608"
total_adsorption,"3.27951"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.27951"
line_id,"10"
pressure,"0.0923938"
total_adsorption,"3.40107"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.40107"
line_id,"11"
pressure,"0.15675"
total_adsorption,"3.59414"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.59414"
line_id,"12"
pressure,"0.223967"
total_adsorption,"3.7586"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.7586"
line_id,"13"
pressure,"0.292614"
total_adsorption,"3.85871"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.85871"
line_id,"14"
pressure,"0.365551"
total_adsorption,"3.98028"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.98028"
line_id,"15"
pressure,"0.441349"
total_adsorption,"4.06608"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.06608"
line_id,"16"
pressure,"0.517146"
total_adsorption,"4.13759"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.13759"
line_id,"17"
pressure,"0.594374"
total_adsorption,"4.21625"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.21625"
line_id,"18"
pressure,"0.671602"
total_adsorption,"4.28061"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.28061"
line_id,"19"
pressure,"0.748829"
total_adsorption,"4.33781"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.33781"
line_id,"20"
pressure,"0.864671"
total_adsorption,"4.40932"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.40932"
line_id,"21"
pressure,"0.944759"
total_adsorption,"4.45937"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.45937"
line_id,"22"
pressure,"1.01627"
total_adsorption,"4.50943"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.50943"
line_id,"23"
pressure,"1.0606"
total_adsorption,"4.53803"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.53803"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.00372489","1","0.404918","0.404918"
2,"0.00515504","1","0.798207","0.798207"
3,"0.00658518","1","1.2344","1.2344"
4,"0.00658518","1","1.67775","1.67775"
5,"0.00944547","1","2.09249","2.09249"
6,"0.0123058","1","2.49293","2.49293"
7,"0.0208866","1","2.83616","2.83616"
8,"0.0409086","1","3.09359","3.09359"
9,"0.0623608","1","3.27951","3.27951"
10,"0.0923938","1","3.40107","3.40107"
11,"0.15675","1","3.59414","3.59414"
12,"0.223967","1","3.7586","3.7586"
13,"0.292614","1","3.85871","3.85871"
14,"0.365551","1","3.98028","3.98028"
15,"0.441349","1","4.06608","4.06608"
16,"0.517146","1","4.13759","4.13759"
17,"0.594374","1","4.21625","4.21625"
18,"0.671602","1","4.28061","4.28061"
19,"0.748829","1","4.33781","4.33781"
20,"0.864671","1","4.40932","4.40932"
21,"0.944759","1","4.45937","4.45937"
22,"1.01627","1","4.50943","4.50943"
23,"1.0606","1","4.53803","4.53803"
