
filename,"10.1006jcis.1998.5733.Isotherm9"
DOI,"10.1006/jcis.1998.5733"
articleSource,"Figure 2"
date,"2020-12-31"
digitizer,"BISON-20 Team"
adsorbent
hashkey,"NIST-MATDB-024028219ad4a29635e01012098fb479"
name,"Cu(I)–NaY zeolite"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"303"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/kg"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00916"
total_adsorption,"1.91"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.91"
line_id,"2"
pressure,"0.116524"
total_adsorption,"15"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"15"
line_id,"3"
pressure,"0.227981"
total_adsorption,"21"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"21"
line_id,"4"
pressure,"0.317147"
total_adsorption,"30"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"30"
line_id,"5"
pressure,"0.462042"
total_adsorption,"53.8"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"53.8"
line_id,"6"
pressure,"0.491426"
total_adsorption,"55"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"55"
line_id,"7"
pressure,"0.575526"
total_adsorption,"59.3"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"59.3"
line_id,"8"
pressure,"0.676851"
total_adsorption,"74.3"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"74.3"
line_id,"9"
pressure,"0.777163"
total_adsorption,"89.8"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"89.8"
line_id,"10"
pressure,"0.89166"
total_adsorption,"110"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"110"
line_id,"11"
pressure,"1.10444"
total_adsorption,"151"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"151"
line_id,"12"
pressure,"1.38815"
total_adsorption,"197"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"197"
line_id,"13"
pressure,"1.85425"
total_adsorption,"251"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"251"
line_id,"14"
pressure,"2.7763"
total_adsorption,"302"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"302"
line_id,"15"
pressure,"5.06625"
total_adsorption,"351"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"351"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.00916","1","1.91","1.91"
2,"0.116524","1","15","15"
3,"0.227981","1","21","21"
4,"0.317147","1","30","30"
5,"0.462042","1","53.8","53.8"
6,"0.491426","1","55","55"
7,"0.575526","1","59.3","59.3"
8,"0.676851","1","74.3","74.3"
9,"0.777163","1","89.8","89.8"
10,"0.89166","1","110","110"
11,"1.10444","1","151","151"
12,"1.38815","1","197","197"
13,"1.85425","1","251","251"
14,"2.7763","1","302","302"
15,"5.06625","1","351","351"
