
filename,"10.1007s10450-013-9527-2.isotherm10"
DOI,"10.1007/s10450-013-9527-2"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.216819"
total_adsorption,"0.0324581"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0324581"
line_id,"2"
pressure,"0.446231"
total_adsorption,"2.32221"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.32221"
line_id,"3"
pressure,"0.752113"
total_adsorption,"3.63313"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.63313"
line_id,"4"
pressure,"1.44035"
total_adsorption,"4.71683"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.71683"
line_id,"5"
pressure,"2.28153"
total_adsorption,"5.38103"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.38103"
line_id,"6"
pressure,"3.658"
total_adsorption,"5.9054"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.9054"
line_id,"7"
pressure,"5.03447"
total_adsorption,"6.18506"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.18506"
line_id,"8"
pressure,"7.71094"
total_adsorption,"6.44725"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.44725"
line_id,"9"
pressure,"11.8403"
total_adsorption,"6.657"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.657"
line_id,"10"
pressure,"19.7168"
total_adsorption,"6.81431"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.81431"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.216819","1","0.0324581","0.0324581"
2,"0.446231","1","2.32221","2.32221"
3,"0.752113","1","3.63313","3.63313"
4,"1.44035","1","4.71683","4.71683"
5,"2.28153","1","5.38103","5.38103"
6,"3.658","1","5.9054","5.9054"
7,"5.03447","1","6.18506","6.18506"
8,"7.71094","1","6.44725","6.44725"
9,"11.8403","1","6.657","6.657"
10,"19.7168","1","6.81431","6.81431"
