
filename,"10.1007s10450-013-9564-x.isotherm7"
DOI,"10.1007/s10450-013-9564-x"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"303"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.278768"
total_adsorption,"0.469433"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.469433"
line_id,"2"
pressure,"0.475406"
total_adsorption,"4.41968"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.41968"
line_id,"3"
pressure,"1.06532"
total_adsorption,"4.85666"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.85666"
line_id,"4"
pressure,"1.9502"
total_adsorption,"5.27616"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.27616"
line_id,"5"
pressure,"3.03171"
total_adsorption,"5.52086"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.52086"
line_id,"6"
pressure,"4.89978"
total_adsorption,"5.74809"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.74809"
line_id,"7"
pressure,"7.16112"
total_adsorption,"5.9054"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.9054"
line_id,"8"
pressure,"10.209"
total_adsorption,"6.06271"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.06271"
line_id,"9"
pressure,"14.7317"
total_adsorption,"6.20254"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.20254"
line_id,"10"
pressure,"20.5325"
total_adsorption,"6.30742"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.30742"
line_id,"11"
pressure,"30.1678"
total_adsorption,"6.34237"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.34237"
line_id,"12"
pressure,"40.0981"
total_adsorption,"6.32489"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.32489"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.278768","1","0.469433","0.469433"
2,"0.475406","1","4.41968","4.41968"
3,"1.06532","1","4.85666","4.85666"
4,"1.9502","1","5.27616","5.27616"
5,"3.03171","1","5.52086","5.52086"
6,"4.89978","1","5.74809","5.74809"
7,"7.16112","1","5.9054","5.9054"
8,"10.209","1","6.06271","6.06271"
9,"14.7317","1","6.20254","6.20254"
10,"20.5325","1","6.30742","6.30742"
11,"30.1678","1","6.34237","6.34237"
12,"40.0981","1","6.32489","6.32489"
