
filename,"10.1007s104500169793x.Isotherm1"
DOI,"10.1007/s10450-016-9793-x"
articleSource,"Figure 3"
date,"2017-07-25"
digitizer,"Julia Chotoo"
adsorbent
hashkey,"NIST-MATDB-f07e8157d36c75cfb31dbcb14931b93e"
name,"Zeolite IFO"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"mod"
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.1992"
total_adsorption,"0.0985"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0985"
line_id,"2"
pressure,"0.5976"
total_adsorption,"0.2831"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.2831"
line_id,"3"
pressure,"1.001"
total_adsorption,"0.4769"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.4769"
line_id,"4"
pressure,"2.0053"
total_adsorption,"0.9769"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.9769"
line_id,"5"
pressure,"2.9997"
total_adsorption,"1.3754"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.3754"
line_id,"6"
pressure,"4.0007"
total_adsorption,"1.7262"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.7262"
line_id,"7"
pressure,"5"
total_adsorption,"1.9938"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.9938"
line_id,"8"
pressure,"5.996"
total_adsorption,"2.1877"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.1877"
line_id,"9"
pressure,"6.9887"
total_adsorption,"2.3754"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.3754"
line_id,"10"
pressure,"7.998"
total_adsorption,"2.5446"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.5446"
line_id,"11"
pressure,"8.9973"
total_adsorption,"2.6862"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.6862"
line_id,"12"
pressure,"10"
total_adsorption,"2.7662"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.7662"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.1992","1","0.0985","0.0985"
2,"0.5976","1","0.2831","0.2831"
3,"1.001","1","0.4769","0.4769"
4,"2.0053","1","0.9769","0.9769"
5,"2.9997","1","1.3754","1.3754"
6,"4.0007","1","1.7262","1.7262"
7,"5","1","1.9938","1.9938"
8,"5.996","1","2.1877","2.1877"
9,"6.9887","1","2.3754","2.3754"
10,"7.998","1","2.5446","2.5446"
11,"8.9973","1","2.6862","2.6862"
12,"10","1","2.7662","2.7662"
