
filename,"10.1007s10450020002058.Isotherm8"
DOI,"10.1007/s10450-020-00205-8"
articleSource,"Figure 4"
date,"2022-07-20"
digitizer,"Sara Stanley"
adsorbent
hashkey,"NIST-MATDB-862496b2ec4b169d0de5b9af8527aa18"
name,"NaY zeolite"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"338"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.120556"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.245516"
line_id,"2"
pressure,"0.170347"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.537594"
line_id,"3"
pressure,"0.27271"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.844814"
line_id,"4"
pressure,"0.340231"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.12143"
line_id,"5"
pressure,"0.390485"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.36735"
line_id,"6"
pressure,"0.441049"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.5825"
line_id,"7"
pressure,"0.63098"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.92008"
line_id,"8"
pressure,"0.681543"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.13524"
line_id,"9"
pressure,"0.784679"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.36553"
line_id,"10"
pressure,"0.940077"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.64173"
line_id,"11"
pressure,"1.1314"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.84085"
line_id,"12"
pressure,"1.37514"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.07049"
line_id,"13"
pressure,"1.49616"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.26994"
line_id,"14"
pressure,"1.77489"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.5148"
line_id,"15"
pressure,"1.93153"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.66793"
line_id,"16"
pressure,"2.05332"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.79044"
line_id,"17"
pressure,"2.29814"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.91239"
line_id,"18"
pressure,"2.59554"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.04948"
line_id,"19"
pressure,"2.85809"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.15596"
line_id,"20"
pressure,"3.24274"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.35418"
line_id,"21"
pressure,"3.75088"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.50568"
line_id,"22"
pressure,"4.20692"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.59589"
line_id,"23"
pressure,"4.68022"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.71678"
line_id,"24"
pressure,"5.22414"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.80658"
line_id,"25"
pressure,"5.78532"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.92706"
line_id,"26"
pressure,"6.45195"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.04706"
line_id,"27"
pressure,"7.17208"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.08989"
line_id,"28"
pressure,"7.92706"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.16333"
line_id,"29"
pressure,"8.75202"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.26722"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.120556","1","0.245516",""
2,"0.170347","1","0.537594",""
3,"0.27271","1","0.844814",""
4,"0.340231","1","1.12143",""
5,"0.390485","1","1.36735",""
6,"0.441049","1","1.5825",""
7,"0.63098","1","1.92008",""
8,"0.681543","1","2.13524",""
9,"0.784679","1","2.36553",""
10,"0.940077","1","2.64173",""
11,"1.1314","1","2.84085",""
12,"1.37514","1","3.07049",""
13,"1.49616","1","3.26994",""
14,"1.77489","1","3.5148",""
15,"1.93153","1","3.66793",""
16,"2.05332","1","3.79044",""
17,"2.29814","1","3.91239",""
18,"2.59554","1","4.04948",""
19,"2.85809","1","4.15596",""
20,"3.24274","1","4.35418",""
21,"3.75088","1","4.50568",""
22,"4.20692","1","4.59589",""
23,"4.68022","1","4.71678",""
24,"5.22414","1","4.80658",""
25,"5.78532","1","4.92706",""
26,"6.45195","1","5.04706",""
27,"7.17208","1","5.08989",""
28,"7.92706","1","5.16333",""
29,"8.75202","1","5.26722",""
