
filename,"10.1007s1045002200355x.288K.LogisticModel"
DOI,"10.1007/s10450-022-00355-x"
articleSource,"Figure 3"
date,"2022-02-10"
digitizer,"NIST FACT Lab"
adsorbent
hashkey,"NIST-MATDB-2be4718f0af306b55d864f82e3b82850"
name,"Ammonium ZSM-5"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"288"
tabular_data,"1"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.1"
total_adsorption,"0.791324"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.791324"
line_id,"2"
pressure,"0.109"
total_adsorption,"0.833824"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.833824"
line_id,"3"
pressure,"0.118"
total_adsorption,"0.874136"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.874136"
line_id,"4"
pressure,"0.127"
total_adsorption,"0.912474"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.912474"
line_id,"5"
pressure,"0.136"
total_adsorption,"0.949019"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.949019"
line_id,"6"
pressure,"0.145"
total_adsorption,"0.983929"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.983929"
line_id,"7"
pressure,"0.154"
total_adsorption,"1.01734"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.01734"
line_id,"8"
pressure,"0.163"
total_adsorption,"1.04937"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.04937"
line_id,"9"
pressure,"0.172"
total_adsorption,"1.08013"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.08013"
line_id,"10"
pressure,"0.181"
total_adsorption,"1.10971"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.10971"
line_id,"11"
pressure,"0.19"
total_adsorption,"1.13819"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.13819"
line_id,"12"
pressure,"0.199"
total_adsorption,"1.16565"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.16565"
line_id,"13"
pressure,"0.208"
total_adsorption,"1.19215"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.19215"
line_id,"14"
pressure,"0.217"
total_adsorption,"1.21776"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.21776"
line_id,"15"
pressure,"0.226"
total_adsorption,"1.24253"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.24253"
line_id,"16"
pressure,"0.235"
total_adsorption,"1.26651"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.26651"
line_id,"17"
pressure,"0.244"
total_adsorption,"1.28974"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.28974"
line_id,"18"
pressure,"0.253"
total_adsorption,"1.31228"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.31228"
line_id,"19"
pressure,"0.262"
total_adsorption,"1.33415"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.33415"
line_id,"20"
pressure,"0.271"
total_adsorption,"1.35539"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.35539"
line_id,"21"
pressure,"0.28"
total_adsorption,"1.37603"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.37603"
line_id,"22"
pressure,"0.289"
total_adsorption,"1.39611"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.39611"
line_id,"23"
pressure,"0.298"
total_adsorption,"1.41565"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.41565"
line_id,"24"
pressure,"0.307"
total_adsorption,"1.43468"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.43468"
line_id,"25"
pressure,"0.316"
total_adsorption,"1.45322"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.45322"
line_id,"26"
pressure,"0.325"
total_adsorption,"1.47129"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.47129"
line_id,"27"
pressure,"0.334"
total_adsorption,"1.48892"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.48892"
line_id,"28"
pressure,"0.343"
total_adsorption,"1.50612"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.50612"
line_id,"29"
pressure,"0.352"
total_adsorption,"1.52292"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.52292"
line_id,"30"
pressure,"0.361"
total_adsorption,"1.53932"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.53932"
line_id,"31"
pressure,"0.37"
total_adsorption,"1.55536"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.55536"
line_id,"32"
pressure,"0.379"
total_adsorption,"1.57103"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.57103"
line_id,"33"
pressure,"0.388"
total_adsorption,"1.58635"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.58635"
line_id,"34"
pressure,"0.397"
total_adsorption,"1.60135"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.60135"
line_id,"35"
pressure,"0.406"
total_adsorption,"1.61603"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.61603"
line_id,"36"
pressure,"0.415"
total_adsorption,"1.6304"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.6304"
line_id,"37"
pressure,"0.424"
total_adsorption,"1.64447"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.64447"
line_id,"38"
pressure,"0.433"
total_adsorption,"1.65826"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.65826"
line_id,"39"
pressure,"0.442"
total_adsorption,"1.67178"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.67178"
line_id,"40"
pressure,"0.451"
total_adsorption,"1.68503"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.68503"
line_id,"41"
pressure,"0.46"
total_adsorption,"1.69802"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.69802"
line_id,"42"
pressure,"0.469"
total_adsorption,"1.71077"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.71077"
line_id,"43"
pressure,"0.478"
total_adsorption,"1.72328"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.72328"
line_id,"44"
pressure,"0.487"
total_adsorption,"1.73556"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.73556"
line_id,"45"
pressure,"0.496"
total_adsorption,"1.74761"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.74761"
line_id,"46"
pressure,"0.505"
total_adsorption,"1.75945"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.75945"
line_id,"47"
pressure,"0.514"
total_adsorption,"1.77107"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.77107"
line_id,"48"
pressure,"0.523"
total_adsorption,"1.7825"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.7825"
line_id,"49"
pressure,"0.532"
total_adsorption,"1.79372"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.79372"
line_id,"50"
pressure,"0.541"
total_adsorption,"1.80476"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.80476"
line_id,"51"
pressure,"0.55"
total_adsorption,"1.81561"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.81561"
line_id,"52"
pressure,"0.559"
