
filename,"10.1007s1045002200355x.M0.1.298K.Isotherm3"
DOI,"10.1007/s10450-022-00355-x"
articleSource,"Figure 6"
date,"2022-02-11"
digitizer,"NIST FACT Lab"
adsorbent
hashkey,"NIST-MATDB-2be4718f0af306b55d864f82e3b82850"
name,"Ammonium ZSM-5"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"mod"
temperature,"298"
tabular_data,"1"
isotherm_type,"excess"
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"6.0E-5"
total_adsorption,"0.000522"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.000522"
line_id,"2"
pressure,"9.3E-5"
total_adsorption,"0.000973"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.000973"
line_id,"3"
pressure,"0.000119"
total_adsorption,"0.001334"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.001334"
line_id,"4"
pressure,"0.000148"
total_adsorption,"0.001557"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.001557"
line_id,"5"
pressure,"0.000174"
total_adsorption,"0.001682"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.001682"
line_id,"6"
pressure,"0.000203"
total_adsorption,"0.001669"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.001669"
line_id,"7"
pressure,"0.000217"
total_adsorption,"0.001642"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.001642"
line_id,"8"
pressure,"0.000351"
total_adsorption,"0.003212"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.003212"
line_id,"9"
pressure,"0.000483"
total_adsorption,"0.004582"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.004582"
line_id,"10"
pressure,"0.00052"
