
filename,"10.1007s1045002200355x.M20.288K.Isotherm3"
DOI,"10.1007/s10450-022-00355-x"
articleSource,"Figure 3"
date,"2022-02-10"
digitizer,"NIST FACT Lab"
adsorbent
hashkey,"NIST-MATDB-2be4718f0af306b55d864f82e3b82850"
name,"Ammonium ZSM-5"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"288"
tabular_data,"1"
isotherm_type,"excess"
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.000245"
total_adsorption,"-0.001761"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"-0.001761"
line_id,"2"
pressure,"0.07179"
total_adsorption,"0.620001"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.620001"
line_id,"3"
pressure,"0.215614"
total_adsorption,"1.16351"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.16351"
line_id,"4"
pressure,"0.273302"
total_adsorption,"1.31871"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.31871"
line_id,"5"
pressure,"0.804686"
total_adsorption,"2.09369"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.09369"
line_id,"6"
pressure,"1.58433"
total_adsorption,"2.50985"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.50985"
line_id,"7"
pressure,"2.59662"
total_adsorption,"2.75639"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.75639"
line_id,"8"
pressure,"3.95544"
total_adsorption,"2.93427"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.93427"
line_id,"9"
pressure,"4.99779"
total_adsorption,"3.02351"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.02351"
line_id,"10"
pressure,"7.62002"
total_adsorption,"3.17143"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.17143"
line_id,"11"
pressure,"9.09898"
total_adsorption,"3.22726"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.22726"
line_id,"12"
pressure,"15.5561"
total_adsorption,"3.39798"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.39798"
line_id,"13"
pressure,"18.6532"
total_adsorption,"3.46439"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.46439"
line_id,"14"
pressure,"19.4505"
total_adsorption,"3.47515"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.47515"
line_id,"15"
pressure,"21.1407"
total_adsorption,"3.50845"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.50845"
line_id,"16"
pressure,"24.6813"
total_adsorption,"3.54237"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.54237"
line_id,"17"
pressure,"27.7838"
total_adsorption,"3.54559"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.54559"
line_id,"18"
pressure,"29.7202"
total_adsorption,"3.56867"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.56867"
line_id,"19"
pressure,"30.5784"
total_adsorption,"3.57438"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.57438"
line_id,"20"
pressure,"32.7034"
total_adsorption,"3.59179"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.59179"
line_id,"21"
pressure,"35.1926"
total_adsorption,"3.60947"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.60947"
line_id,"22"
pressure,"37.9436"
total_adsorption,"3.62057"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.62057"
line_id,"23"
pressure,"40.5651"
total_adsorption,"3.62982"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.62982"
line_id,"24"
pressure,"42.9676"
total_adsorption,"3.64406"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.64406"
line_id,"25"
pressure,"45.4245"
total_adsorption,"3.67103"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.67103"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.000245","1","-0.001761","-0.001761"
2,"0.07179","1","0.620001","0.620001"
3,"0.215614","1","1.16351","1.16351"
4,"0.273302","1","1.31871","1.31871"
5,"0.804686","1","2.09369","2.09369"
6,"1.58433","1","2.50985","2.50985"
7,"2.59662","1","2.75639","2.75639"
8,"3.95544","1","2.93427","2.93427"
9,"4.99779","1","3.02351","3.02351"
10,"7.62002","1","3.17143","3.17143"
11,"9.09898","1","3.22726","3.22726"
12,"15.5561","1","3.39798","3.39798"
13,"18.6532","1","3.46439","3.46439"
14,"19.4505","1","3.47515","3.47515"
15,"21.1407","1","3.50845","3.50845"
16,"24.6813","1","3.54237","3.54237"
17,"27.7838","1","3.54559","3.54559"
18,"29.7202","1","3.56867","3.56867"
19,"30.5784","1","3.57438","3.57438"
20,"32.7034","1","3.59179","3.59179"
21,"35.1926","1","3.60947","3.60947"
22,"37.9436","1","3.62057","3.62057"
23,"40.5651","1","3.62982","3.62982"
24,"42.9676","1","3.64406","3.64406"
25,"45.4245","1","3.67103","3.67103"
