
filename,"10.1007s424520202298y.Isotherm17"
DOI,"10.1007/s42452-020-2298-y"
articleSource,"Figure 3"
date,"2020-12-31"
digitizer,"BISON-20 Team"
adsorbent
hashkey,"NIST-MATDB-462f95bac55fbe1c145f8b9d558d29f0"
name,"13X zeolite with Si/Al = 1.4"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"283"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0"
total_adsorption,"0"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0"
line_id,"2"
pressure,"0.019"
total_adsorption,"2.9"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.9"
line_id,"3"
pressure,"0.0486"
total_adsorption,"3.81"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.81"
line_id,"4"
pressure,"0.0867"
total_adsorption,"4.43"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.43"
line_id,"5"
pressure,"0.148"
total_adsorption,"4.89"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.89"
line_id,"6"
pressure,"0.22"
total_adsorption,"5.2"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.2"
line_id,"7"
pressure,"0.298"
total_adsorption,"5.45"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.45"
line_id,"8"
pressure,"0.383"
total_adsorption,"5.62"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.62"
line_id,"9"
pressure,"0.467"
total_adsorption,"5.76"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.76"
line_id,"10"
pressure,"0.554"
total_adsorption,"5.86"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.86"
line_id,"11"
pressure,"0.643"
total_adsorption,"5.93"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.93"
line_id,"12"
pressure,"0.734"
total_adsorption,"6.01"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.01"
line_id,"13"
pressure,"0.825"
total_adsorption,"6.09"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.09"
line_id,"14"
pressure,"0.962"
total_adsorption,"6.22"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.22"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0","1","0","0"
2,"0.019","1","2.9","2.9"
3,"0.0486","1","3.81","3.81"
4,"0.0867","1","4.43","4.43"
5,"0.148","1","4.89","4.89"
6,"0.22","1","5.2","5.2"
7,"0.298","1","5.45","5.45"
8,"0.383","1","5.62","5.62"
9,"0.467","1","5.76","5.76"
10,"0.554","1","5.86","5.86"
11,"0.643","1","5.93","5.93"
12,"0.734","1","6.01","6.01"
13,"0.825","1","6.09","6.09"
14,"0.962","1","6.22","6.22"
