
filename,"10.1016000925099080179i.Isotherm20"
DOI,"10.1016/0009-2509(90)80179-i"
articleSource,"Table 1"
date,"2020-12-31"
digitizer,"BISON-20 Team"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"cm3(STP)/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"2.1029"
total_adsorption,"82.08"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"82.08"
line_id,"2"
pressure,"3.68869"
total_adsorption,"85.67"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"85.67"
line_id,"3"
pressure,"5.10901"
total_adsorption,"88.33"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"88.33"
line_id,"4"
pressure,"6.37765"
total_adsorption,"89.57"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"89.57"
line_id,"5"
pressure,"14.0791"
total_adsorption,"94.13"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"94.13"
line_id,"6"
pressure,"21.5461"
total_adsorption,"98.8"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"98.8"
line_id,"7"
pressure,"26.138"
total_adsorption,"103.82"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"103.82"
line_id,"8"
pressure,"38.0108"
total_adsorption,"110.63"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"110.63"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"2.1029","1","82.08","82.08"
2,"3.68869","1","85.67","85.67"
3,"5.10901","1","88.33","88.33"
4,"6.37765","1","89.57","89.57"
5,"14.0791","1","94.13","94.13"
6,"21.5461","1","98.8","98.8"
7,"26.138","1","103.82","103.82"
8,"38.0108","1","110.63","110.63"
