
filename,"10.10160950421494800057.Isotherm29"
DOI,"10.1016/0950-4214(94)80005-7"
articleSource,"Table 1"
date,"2020-12-31"
digitizer,"BISON-20 Team"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"293"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.002"
total_adsorption,"0.292"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.292"
line_id,"2"
pressure,"0.008133"
total_adsorption,"0.651"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.651"
line_id,"3"
pressure,"0.020798"
total_adsorption,"1.078"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.078"
line_id,"4"
pressure,"0.045596"
total_adsorption,"1.634"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.634"
line_id,"5"
pressure,"0.055195"
total_adsorption,"1.787"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.787"
line_id,"6"
pressure,"0.089593"
total_adsorption,"2.161"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.161"
line_id,"7"
pressure,"0.148121"
total_adsorption,"2.605"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.605"
line_id,"8"
pressure,"0.24078"
total_adsorption,"2.982"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.982"
line_id,"9"
pressure,"0.336906"
total_adsorption,"3.232"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.232"
line_id,"10"
pressure,"0.393568"
total_adsorption,"3.361"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.361"
line_id,"11"
pressure,"0.655146"
total_adsorption,"3.636"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.636"
line_id,"12"
pressure,"0.746739"
total_adsorption,"3.708"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.708"
line_id,"13"
pressure,"0.914325"
total_adsorption,"3.791"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.791"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.002","1","0.292","0.292"
2,"0.008133","1","0.651","0.651"
3,"0.020798","1","1.078","1.078"
4,"0.045596","1","1.634","1.634"
5,"0.055195","1","1.787","1.787"
6,"0.089593","1","2.161","2.161"
7,"0.148121","1","2.605","2.605"
8,"0.24078","1","2.982","2.982"
9,"0.336906","1","3.232","3.232"
10,"0.393568","1","3.361","3.361"
11,"0.655146","1","3.636","3.636"
12,"0.746739","1","3.708","3.708"
13,"0.914325","1","3.791","3.791"
