
filename,"10.1016S0008-6223(03)00304-X.Isotherm1"
DOI,"10.1016/S0008-6223(03)00304-X"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-081a0818678716f502aee0b58ac1b30a"
name,"Zeolite 4A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"297"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0"
total_adsorption,"0.0271186"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0271186"
line_id,"2"
pressure,"0.12931"
total_adsorption,"1.12537"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.12537"
line_id,"3"
pressure,"0.323276"
total_adsorption,"1.59985"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.59985"
line_id,"4"
pressure,"0.905172"
total_adsorption,"2.11485"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.11485"
line_id,"5"
pressure,"1.74569"
total_adsorption,"2.61616"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.61616"
line_id,"6"
pressure,"2.78017"
total_adsorption,"2.92756"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.92756"
line_id,"7"
pressure,"3.75"
total_adsorption,"3.11695"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.11695"
line_id,"8"
pressure,"5.0431"
total_adsorption,"3.2384"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.2384"
line_id,"9"
pressure,"7.11207"
total_adsorption,"3.40018"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.40018"
line_id,"10"
pressure,"8.46983"
total_adsorption,"3.44024"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.44024"
line_id,"11"
pressure,"10.0216"
total_adsorption,"3.48022"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.48022"
line_id,"12"
pressure,"12.5431"
total_adsorption,"3.53331"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.53331"
line_id,"13"
pressure,"14.0948"
total_adsorption,"3.55973"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.55973"
line_id,"14"
pressure,"15.9698"
total_adsorption,"3.586"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.586"
line_id,"15"
pressure,"19.2672"
total_adsorption,"3.59807"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.59807"
line_id,"16"
pressure,"23.7284"
total_adsorption,"3.62317"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.62317"
line_id,"17"
pressure,"27.6724"
total_adsorption,"3.63495"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.63495"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0","1","0.0271186","0.0271186"
2,"0.12931","1","1.12537","1.12537"
3,"0.323276","1","1.59985","1.59985"
4,"0.905172","1","2.11485","2.11485"
5,"1.74569","1","2.61616","2.61616"
6,"2.78017","1","2.92756","2.92756"
7,"3.75","1","3.11695","3.11695"
8,"5.0431","1","3.2384","3.2384"
9,"7.11207","1","3.40018","3.40018"
10,"8.46983","1","3.44024","3.44024"
11,"10.0216","1","3.48022","3.48022"
12,"12.5431","1","3.53331","3.53331"
13,"14.0948","1","3.55973","3.55973"
14,"15.9698","1","3.586","3.586"
15,"19.2672","1","3.59807","3.59807"
16,"23.7284","1","3.62317","3.62317"
17,"27.6724","1","3.63495","3.63495"
