
filename,"10.1016S0167-2991(05)80435-5.Isotherm1"
DOI,"10.1016/S0167-2991(05)80435-5"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-c422d2007633d4bce61c708dc86bfc2d"
name,"Zeolite Na-Y"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"300"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"molecules/unitcell"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.210847"
total_adsorption,"34.8265"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"34.8265"
line_id,"2"
pressure,"0.227575"
total_adsorption,"18.5489"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"18.5489"
line_id,"3"
pressure,"0.321328"
total_adsorption,"47.3186"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"47.3186"
line_id,"4"
pressure,"0.43531"
total_adsorption,"56.4038"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"56.4038"
line_id,"5"
pressure,"0.675333"
total_adsorption,"62.8391"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"62.8391"
line_id,"6"
pressure,"0.916913"
total_adsorption,"67.7603"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"67.7603"
line_id,"7"
pressure,"1.03751"
total_adsorption,"70.4101"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"70.4101"
line_id,"8"
pressure,"1.64904"
total_adsorption,"75.3312"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"75.3312"
line_id,"9"
pressure,"2.13882"
total_adsorption,"78.7382"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"78.7382"
line_id,"10"
pressure,"2.99815"
total_adsorption,"82.5237"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"82.5237"
line_id,"11"
pressure,"3.61202"
total_adsorption,"85.1735"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"85.1735"
line_id,"12"
pressure,"4.84287"
total_adsorption,"87.4448"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"87.4448"
line_id,"13"
pressure,"7.18203"
total_adsorption,"91.2303"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"91.2303"
line_id,"14"
pressure,"9.64568"
total_adsorption,"93.8801"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"93.8801"
line_id,"15"
pressure,"11.9868"
total_adsorption,"95.7729"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"95.7729"
line_id,"16"
pressure,"14.3271"
total_adsorption,"98.4227"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"98.4227"
line_id,"17"
pressure,"17.8998"
total_adsorption,"101.83"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"101.83"
line_id,"18"
pressure,"20.8568"
total_adsorption,"104.479"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"104.479"
line_id,"19"
pressure,"23.4445"
total_adsorption,"106.372"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"106.372"
line_id,"20"
pressure,"25.7852"
total_adsorption,"108.644"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"108.644"
line_id,"21"
pressure,"28.8666"
total_adsorption,"110.158"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"110.158"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.210847","1","34.8265","34.8265"
2,"0.227575","1","18.5489","18.5489"
3,"0.321328","1","47.3186","47.3186"
4,"0.43531","1","56.4038","56.4038"
5,"0.675333","1","62.8391","62.8391"
6,"0.916913","1","67.7603","67.7603"
7,"1.03751","1","70.4101","70.4101"
8,"1.64904","1","75.3312","75.3312"
9,"2.13882","1","78.7382","78.7382"
10,"2.99815","1","82.5237","82.5237"
11,"3.61202","1","85.1735","85.1735"
12,"4.84287","1","87.4448","87.4448"
13,"7.18203","1","91.2303","91.2303"
14,"9.64568","1","93.8801","93.8801"
15,"11.9868","1","95.7729","95.7729"
16,"14.3271","1","98.4227","98.4227"
17,"17.8998","1","101.83","101.83"
18,"20.8568","1","104.479","104.479"
19,"23.4445","1","106.372","106.372"
20,"25.7852","1","108.644","108.644"
21,"28.8666","1","110.158","110.158"
