
filename,"10.1016S1383-5866(02)00012-6.isotherm2"
DOI,"10.1016/S1383-5866(02)00012-6"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"303"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0219378"
total_adsorption,"0.121884"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.121884"
line_id,"2"
pressure,"0.219378"
total_adsorption,"0.792014"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.792014"
line_id,"3"
pressure,"0.285192"
total_adsorption,"1.21864"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.21864"
line_id,"4"
pressure,"0.416819"
total_adsorption,"1.65727"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.65727"
line_id,"5"
pressure,"0.592322"
total_adsorption,"2.14454"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.14454"
line_id,"6"
pressure,"0.745887"
total_adsorption,"2.52212"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.52212"
line_id,"7"
pressure,"0.943327"
total_adsorption,"2.82639"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.82639"
line_id,"8"
pressure,"1.40402"
total_adsorption,"3.17865"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.17865"
line_id,"9"
pressure,"2.23766"
total_adsorption,"3.37123"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.37123"
line_id,"10"
pressure,"3.61974"
total_adsorption,"3.48896"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.48896"
line_id,"11"
pressure,"5.08958"
total_adsorption,"3.49668"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.49668"
line_id,"12"
pressure,"5.98903"
total_adsorption,"3.50613"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.50613"
line_id,"13"
pressure,"7.50274"
total_adsorption,"3.52591"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.52591"
line_id,"14"
pressure,"8.62157"
total_adsorption,"3.5225"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.5225"
line_id,"15"
pressure,"10.0256"
total_adsorption,"3.50602"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.50602"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0219378","1","0.121884","0.121884"
2,"0.219378","1","0.792014","0.792014"
3,"0.285192","1","1.21864","1.21864"
4,"0.416819","1","1.65727","1.65727"
5,"0.592322","1","2.14454","2.14454"
6,"0.745887","1","2.52212","2.52212"
7,"0.943327","1","2.82639","2.82639"
8,"1.40402","1","3.17865","3.17865"
9,"2.23766","1","3.37123","3.37123"
10,"3.61974","1","3.48896","3.48896"
11,"5.08958","1","3.49668","3.49668"
12,"5.98903","1","3.50613","3.50613"
13,"7.50274","1","3.52591","3.52591"
14,"8.62157","1","3.5225","3.5225"
15,"10.0256","1","3.50602","3.50602"
