
filename,"10.1016S1383-5866(02)00012-6.isotherm2b"
DOI,"10.1016/S1383-5866(02)00012-6"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"303"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0651577"
total_adsorption,"0.0978593"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0978593"
line_id,"2"
pressure,"0.256747"
total_adsorption,"1.10092"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.10092"
line_id,"3"
pressure,"0.406884"
total_adsorption,"1.67584"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.67584"
line_id,"4"
pressure,"0.752494"
total_adsorption,"2.54434"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.54434"
line_id,"5"
pressure,"1.18757"
total_adsorption,"3.07034"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.07034"
line_id,"6"
pressure,"1.60216"
total_adsorption,"3.33945"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.33945"
line_id,"7"
pressure,"2.06141"
total_adsorption,"3.44954"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.44954"
line_id,"8"
pressure,"2.4336"
total_adsorption,"3.46177"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.46177"
line_id,"9"
pressure,"3.19983"
total_adsorption,"3.49847"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.49847"
line_id,"10"
pressure,"4.49186"
total_adsorption,"3.48624"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.48624"
line_id,"11"
pressure,"5.98091"
total_adsorption,"3.48624"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.48624"
line_id,"12"
pressure,"6.76917"
total_adsorption,"3.49847"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.49847"
line_id,"13"
pressure,"7.62312"
total_adsorption,"3.5107"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.5107"
line_id,"14"
pressure,"8.73984"
total_adsorption,"3.52294"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.52294"
line_id,"15"
pressure,"9.57202"
total_adsorption,"3.5107"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.5107"
line_id,"16"
pressure,"9.98815"
total_adsorption,"3.49847"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.49847"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0651577","1","0.0978593","0.0978593"
2,"0.256747","1","1.10092","1.10092"
3,"0.406884","1","1.67584","1.67584"
4,"0.752494","1","2.54434","2.54434"
5,"1.18757","1","3.07034","3.07034"
6,"1.60216","1","3.33945","3.33945"
7,"2.06141","1","3.44954","3.44954"
8,"2.4336","1","3.46177","3.46177"
9,"3.19983","1","3.49847","3.49847"
10,"4.49186","1","3.48624","3.48624"
11,"5.98091","1","3.48624","3.48624"
12,"6.76917","1","3.49847","3.49847"
13,"7.62312","1","3.5107","3.5107"
14,"8.73984","1","3.52294","3.52294"
15,"9.57202","1","3.5107","3.5107"
16,"9.98815","1","3.49847","3.49847"
