
filename,"10.1016S1383-5866(02)00012-6.isotherm2c"
DOI,"10.1016/S1383-5866(02)00012-6"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"303"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0857909"
total_adsorption,"0.243074"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.243074"
line_id,"2"
pressure,"0.170854"
total_adsorption,"0.619888"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.619888"
line_id,"3"
pressure,"0.276834"
total_adsorption,"1.15473"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.15473"
line_id,"4"
pressure,"0.469533"
total_adsorption,"1.76244"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.76244"
line_id,"5"
pressure,"0.684937"
total_adsorption,"2.19991"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.19991"
line_id,"6"
pressure,"1.09602"
total_adsorption,"2.69798"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.69798"
line_id,"7"
pressure,"1.70417"
total_adsorption,"3.00131"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.00131"
line_id,"8"
pressure,"2.50859"
total_adsorption,"3.25582"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.25582"
line_id,"9"
pressure,"4.03197"
total_adsorption,"3.46096"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.46096"
line_id,"10"
pressure,"5.38166"
total_adsorption,"3.56902"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.56902"
line_id,"11"
pressure,"7.77678"
total_adsorption,"3.66385"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.66385"
line_id,"12"
pressure,"9.97617"
total_adsorption,"3.71026"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.71026"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0857909","1","0.243074","0.243074"
2,"0.170854","1","0.619888","0.619888"
3,"0.276834","1","1.15473","1.15473"
4,"0.469533","1","1.76244","1.76244"
5,"0.684937","1","2.19991","2.19991"
6,"1.09602","1","2.69798","2.69798"
7,"1.70417","1","3.00131","3.00131"
8,"2.50859","1","3.25582","3.25582"
9,"4.03197","1","3.46096","3.46096"
10,"5.38166","1","3.56902","3.56902"
11,"7.77678","1","3.66385","3.66385"
12,"9.97617","1","3.71026","3.71026"
