
filename,"10.1016S1383-5866(02)00012-6.isotherm2d"
DOI,"10.1016/S1383-5866(02)00012-6"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"373"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0857909"
total_adsorption,"0.243074"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.243074"
line_id,"2"
pressure,"0.170854"
total_adsorption,"0.619888"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.619888"
line_id,"3"
pressure,"0.407639"
total_adsorption,"1.13029"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.13029"
line_id,"4"
pressure,"0.666203"
total_adsorption,"1.64066"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.64066"
line_id,"5"
pressure,"0.969252"
total_adsorption,"1.98078"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.98078"
line_id,"6"
pressure,"1.40297"
total_adsorption,"2.32077"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.32077"
line_id,"7"
pressure,"2.01145"
total_adsorption,"2.56331"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.56331"
line_id,"8"
pressure,"2.57671"
total_adsorption,"2.74511"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.74511"
line_id,"9"
pressure,"4.10016"
total_adsorption,"2.9381"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.9381"
line_id,"10"
pressure,"5.55873"
total_adsorption,"3.04604"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.04604"
line_id,"11"
pressure,"8.12809"
total_adsorption,"3.1407"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.1407"
line_id,"12"
pressure,"9.95724"
total_adsorption,"3.18748"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.18748"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0857909","1","0.243074","0.243074"
2,"0.170854","1","0.619888","0.619888"
3,"0.407639","1","1.13029","1.13029"
4,"0.666203","1","1.64066","1.64066"
5,"0.969252","1","1.98078","1.98078"
6,"1.40297","1","2.32077","2.32077"
7,"2.01145","1","2.56331","2.56331"
8,"2.57671","1","2.74511","2.74511"
9,"4.10016","1","2.9381","2.9381"
10,"5.55873","1","3.04604","3.04604"
11,"8.12809","1","3.1407","3.1407"
12,"9.95724","1","3.18748","3.18748"
