
filename,"10.1016S1383-5866(02)00012-6.isotherm2e"
DOI,"10.1016/S1383-5866(02)00012-6"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"373"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0437956"
total_adsorption,"0.0610201"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0610201"
line_id,"2"
pressure,"0.153285"
total_adsorption,"0.43918"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.43918"
line_id,"3"
pressure,"0.328467"
total_adsorption,"1.02472"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.02472"
line_id,"4"
pressure,"0.832117"
total_adsorption,"1.83011"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.83011"
line_id,"5"
pressure,"1.20438"
total_adsorption,"2.12318"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.12318"
line_id,"6"
pressure,"1.88321"
total_adsorption,"2.62387"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.62387"
line_id,"7"
pressure,"2.40876"
total_adsorption,"2.72196"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.72196"
line_id,"8"
pressure,"2.84672"
total_adsorption,"2.80777"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.80777"
line_id,"9"
pressure,"3.61314"
total_adsorption,"2.90611"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.90611"
line_id,"10"
pressure,"4.37956"
total_adsorption,"2.99226"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.99226"
line_id,"11"
pressure,"6.41606"
total_adsorption,"3.10408"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.10408"
line_id,"12"
pressure,"7.55474"
total_adsorption,"3.12963"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.12963"
line_id,"13"
pressure,"8.36496"
total_adsorption,"3.14265"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.14265"
line_id,"14"
pressure,"9.19708"
total_adsorption,"3.14349"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.14349"
line_id,"15"
pressure,"9.9854"
total_adsorption,"3.18088"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.18088"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0437956","1","0.0610201","0.0610201"
2,"0.153285","1","0.43918","0.43918"
3,"0.328467","1","1.02472","1.02472"
4,"0.832117","1","1.83011","1.83011"
5,"1.20438","1","2.12318","2.12318"
6,"1.88321","1","2.62387","2.62387"
7,"2.40876","1","2.72196","2.72196"
8,"2.84672","1","2.80777","2.80777"
9,"3.61314","1","2.90611","2.90611"
10,"4.37956","1","2.99226","2.99226"
11,"6.41606","1","3.10408","3.10408"
12,"7.55474","1","3.12963","3.12963"
13,"8.36496","1","3.14265","3.14265"
14,"9.19708","1","3.14349","3.14349"
15,"9.9854","1","3.18088","3.18088"
