
filename,"10.1016S1383-5866(02)00012-6.isotherm2g"
DOI,"10.1016/S1383-5866(02)00012-6"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"573"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.108629"
total_adsorption,"0.0485222"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0485222"
line_id,"2"
pressure,"0.717638"
total_adsorption,"0.193802"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.193802"
line_id,"3"
pressure,"1.54457"
total_adsorption,"0.314545"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.314545"
line_id,"4"
pressure,"2.15391"
total_adsorption,"0.399034"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.399034"
line_id,"5"
pressure,"2.78509"
total_adsorption,"0.471342"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.471342"
line_id,"6"
pressure,"3.54682"
total_adsorption,"0.567835"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.567835"
line_id,"7"
pressure,"4.30868"
total_adsorption,"0.640011"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.640011"
line_id,"8"
pressure,"5.46235"
total_adsorption,"0.748265"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.748265"
line_id,"9"
pressure,"6.83408"
total_adsorption,"0.807666"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.807666"
line_id,"10"
pressure,"7.98789"
total_adsorption,"0.891603"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.891603"
line_id,"11"
pressure,"8.90233"
total_adsorption,"0.939309"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.939309"
line_id,"12"
pressure,"9.92566"
total_adsorption,"0.986904"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.986904"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.108629","1","0.0485222","0.0485222"
2,"0.717638","1","0.193802","0.193802"
3,"1.54457","1","0.314545","0.314545"
4,"2.15391","1","0.399034","0.399034"
5,"2.78509","1","0.471342","0.471342"
6,"3.54682","1","0.567835","0.567835"
7,"4.30868","1","0.640011","0.640011"
8,"5.46235","1","0.748265","0.748265"
9,"6.83408","1","0.807666","0.807666"
10,"7.98789","1","0.891603","0.891603"
11,"8.90233","1","0.939309","0.939309"
12,"9.92566","1","0.986904","0.986904"
