
filename,"10.1016j.apsusc.2009.12.090.isotherm4"
DOI,"10.1016/j.apsusc.2009.12.090"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-081a0818678716f502aee0b58ac1b30a"
name,"Zeolite 4A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"cm3(STP)/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00431"
total_adsorption,"0.793937"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.793937"
line_id,"2"
pressure,"0.00822"
total_adsorption,"2.33849"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.33849"
line_id,"3"
pressure,"0.014299"
total_adsorption,"4.74113"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.74113"
line_id,"4"
pressure,"0.0279013"
total_adsorption,"6.80054"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.80054"
line_id,"5"
pressure,"0.0496477"
total_adsorption,"11.6058"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"11.6058"
line_id,"6"
pressure,"0.0787261"
total_adsorption,"20.3583"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"20.3583"
line_id,"7"
pressure,"0.119211"
total_adsorption,"29.9689"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"29.9689"
line_id,"8"
pressure,"0.168454"
total_adsorption,"38.8929"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"38.8929"
line_id,"9"
pressure,"0.255082"
total_adsorption,"46.4441"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"46.4441"
line_id,"10"
pressure,"0.486394"
total_adsorption,"55.7114"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"55.7114"
line_id,"11"
pressure,"0.865492"
total_adsorption,"61.8896"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"61.8896"
line_id,"12"
pressure,"1.1679"
total_adsorption,"66.0085"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"66.0085"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.00431","1","0.793937","0.793937"
2,"0.00822","1","2.33849","2.33849"
3,"0.014299","1","4.74113","4.74113"
4,"0.0279013","1","6.80054","6.80054"
5,"0.0496477","1","11.6058","11.6058"
6,"0.0787261","1","20.3583","20.3583"
7,"0.119211","1","29.9689","29.9689"
8,"0.168454","1","38.8929","38.8929"
9,"0.255082","1","46.4441","46.4441"
10,"0.486394","1","55.7114","55.7114"
11,"0.865492","1","61.8896","61.8896"
12,"1.1679","1","66.0085","66.0085"
