
filename,"10.1016j.cclet.2016.01.017.Isotherm2"
DOI,"10.1016/j.cclet.2016.01.017"
articleSource,"Figure 1"
date,"2018-07-18"
digitizer,"Soojin Jang"
adsorbent
hashkey,"NIST-MATDB-505c85b5764e29ba590c00a36590edc6"
name,"zeolite NaKA (12.8% K+)"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"293"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00791"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.00677"
line_id,"2"
pressure,"0.29597"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.8176"
line_id,"3"
pressure,"0.85734"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.14681"
line_id,"4"
pressure,"2.99546"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.94024"
line_id,"5"
pressure,"6.11647"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.37516"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.00791","1","0.00677",""
2,"0.29597","1","1.8176",""
3,"0.85734","1","3.14681",""
4,"2.99546","1","3.94024",""
5,"6.11647","1","4.37516",""
