
filename,"10.1016j.cej.2008.07.034.isotherm15"
DOI,"10.1016/j.cej.2008.07.034"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-aab7f4d547e6752b772d6f12520fde3b"
name,"Zeolite MFI"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"kg/mol"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.000106"
total_adsorption,"0.57119"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.57119"
line_id,"2"
pressure,"0.00115439"
total_adsorption,"0.260579"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.260579"
line_id,"3"
pressure,"0.00209388"
total_adsorption,"0.192685"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.192685"
line_id,"4"
pressure,"0.00307707"
total_adsorption,"0.126275"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.126275"
line_id,"5"
pressure,"0.00410397"
total_adsorption,"0.252831"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.252831"
line_id,"6"
pressure,"0.00506531"
total_adsorption,"0.245314"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.245314"
line_id,"7"
pressure,"0.0060485"
total_adsorption,"0.268565"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.268565"
line_id,"8"
pressure,"0.00700985"
total_adsorption,"0.385798"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.385798"
line_id,"9"
pressure,"0.00801489"
total_adsorption,"0.29402"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.29402"
line_id,"10"
pressure,"0.00899808"
total_adsorption,"0.224075"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.224075"
line_id,"11"
pressure,"0.0100031"
total_adsorption,"0.181397"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.181397"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.000106","1","0.57119","0.57119"
2,"0.00115439","1","0.260579","0.260579"
3,"0.00209388","1","0.192685","0.192685"
4,"0.00307707","1","0.126275","0.126275"
5,"0.00410397","1","0.252831","0.252831"
6,"0.00506531","1","0.245314","0.245314"
7,"0.0060485","1","0.268565","0.268565"
8,"0.00700985","1","0.385798","0.385798"
9,"0.00801489","1","0.29402","0.29402"
10,"0.00899808","1","0.224075","0.224075"
11,"0.0100031","1","0.181397","0.181397"
