
filename,"10.1016j.cej.2019.123251.Isotherm7"
DOI,"10.1016/j.cej.2019.123251"
articleSource,"Figure 2a"
date,"2020-12-31"
digitizer,"BISON-20 Team"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.492"
total_adsorption,"1.28"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.28"
line_id,"2"
pressure,"0.492"
total_adsorption,"1.54"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.54"
line_id,"3"
pressure,"0.503"
total_adsorption,"2.61"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.61"
line_id,"4"
pressure,"0.535"
total_adsorption,"3.75"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.75"
line_id,"5"
pressure,"0.568"
total_adsorption,"4.5"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.5"
line_id,"6"
pressure,"0.647"
total_adsorption,"4.66"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.66"
line_id,"7"
pressure,"0.837"
total_adsorption,"4.79"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.79"
line_id,"8"
pressure,"1.11"
total_adsorption,"4.95"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.95"
line_id,"9"
pressure,"1.34"
total_adsorption,"5.03"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.03"
line_id,"10"
pressure,"2.17"
total_adsorption,"5.17"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.17"
line_id,"11"
pressure,"2.79"
total_adsorption,"5.26"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.26"
line_id,"12"
pressure,"3.43"
total_adsorption,"5.35"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.35"
line_id,"13"
pressure,"4.07"
total_adsorption,"5.42"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.42"
line_id,"14"
pressure,"4.71"
total_adsorption,"5.45"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.45"
line_id,"15"
pressure,"5.36"
total_adsorption,"5.51"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.51"
line_id,"16"
pressure,"6.04"
total_adsorption,"5.55"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.55"
line_id,"17"
pressure,"6.7"
total_adsorption,"5.59"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.59"
line_id,"18"
pressure,"7.37"
total_adsorption,"5.62"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.62"
line_id,"19"
pressure,"8.06"
total_adsorption,"5.67"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.67"
line_id,"20"
pressure,"8.72"
total_adsorption,"5.69"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.69"
line_id,"21"
pressure,"9.39"
total_adsorption,"5.73"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.73"
line_id,"22"
pressure,"10.1"
total_adsorption,"5.75"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.75"
line_id,"23"
pressure,"10.7"
total_adsorption,"5.78"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.78"
line_id,"24"
pressure,"11.4"
total_adsorption,"5.8"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.8"
line_id,"25"
pressure,"12.1"
total_adsorption,"5.82"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.82"
line_id,"26"
pressure,"12.8"
total_adsorption,"5.85"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.85"
line_id,"27"
pressure,"13.4"
total_adsorption,"5.86"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.86"
line_id,"28"
pressure,"14.1"
total_adsorption,"5.88"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.88"
line_id,"29"
pressure,"14.8"
total_adsorption,"5.89"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.89"
line_id,"30"
pressure,"15.4"
total_adsorption,"5.92"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.92"
line_id,"31"
pressure,"16.1"
total_adsorption,"5.94"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.94"
line_id,"32"
pressure,"16.8"
total_adsorption,"5.95"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.95"
line_id,"33"
pressure,"17.4"
total_adsorption,"5.97"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.97"
line_id,"34"
pressure,"18.1"
total_adsorption,"5.99"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.99"
line_id,"35"
pressure,"18.8"
total_adsorption,"6.01"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.01"
line_id,"36"
pressure,"19.4"
total_adsorption,"6"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6"
line_id,"37"
pressure,"20.1"
total_adsorption,"6.02"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.02"
line_id,"38"
pressure,"20.8"
total_adsorption,"6.05"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.05"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.492","1","1.28","1.28"
2,"0.492","1","1.54","1.54"
3,"0.503","1","2.61","2.61"
4,"0.535","1","3.75","3.75"
5,"0.568","1","4.5","4.5"
6,"0.647","1","4.66","4.66"
7,"0.837","1","4.79","4.79"
8,"1.11","1","4.95","4.95"
9,"1.34","1","5.03","5.03"
10,"2.17","1","5.17","5.17"
11,"2.79","1","5.26","5.26"
12,"3.43","1","5.35","5.35"
13,"4.07","1","5.42","5.42"
14,"4.71","1","5.45","5.45"
15,"5.36","1","5.51","5.51"
16,"6.04","1","5.55","5.55"
17,"6.7","1","5.59","5.59"
18,"7.37","1","5.62","5.62"
19,"8.06","1","5.67","5.67"
20,"8.72","1","5.69","5.69"
21,"9.39","1","5.73","5.73"
22,"10.1","1","5.75","5.75"
23,"10.7","1","5.78","5.78"
24,"11.4","1","5.8","5.8"
25,"12.1","1","5.82","5.82"
26,"12.8","1","5.85","5.85"
27,"13.4","1","5.86","5.86"
28,"14.1","1","5.88","5.88"
29,"14.8","1","5.89","5.89"
30,"15.4","1","5.92","5.92"
31,"16.1","1","5.94","5.94"
32,"16.8","1","5.95","5.95"
33,"17.4","1","5.97","5.97"
34,"18.1","1","5.99","5.99"
