
filename,"10.1016j.ces.2016.07.033.Isotherm17"
DOI,"10.1016/j.ces.2016.07.033"
articleSource,"Figure 10- CO2_Experimental"
date,"2018-06-27"
digitizer,"Julie Yagodich"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"318"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.2317"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.75475"
line_id,"2"
pressure,"0.3473"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.09348"
line_id,"3"
pressure,"0.6495"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.58524"
line_id,"4"
pressure,"1.0184"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.87308"
line_id,"5"
pressure,"1.5118"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.13182"
line_id,"6"
pressure,"2.0185"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.2631"
line_id,"7"
pressure,"2.8007"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.44546"
line_id,"8"
pressure,"3.8141"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.6097"
line_id,"9"
pressure,"5.0364"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.75579"
line_id,"10"
pressure,"6.9876"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.91671"
line_id,"11"
pressure,"10.0055"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.10348"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.2317","1","3.75475",""
2,"0.3473","1","4.09348",""
3,"0.6495","1","4.58524",""
4,"1.0184","1","4.87308",""
5,"1.5118","1","5.13182",""
6,"2.0185","1","5.2631",""
7,"2.8007","1","5.44546",""
8,"3.8141","1","5.6097",""
9,"5.0364","1","5.75579",""
10,"6.9876","1","5.91671",""
11,"10.0055","1","6.10348",""
