
filename,"10.1016j.egypro.2013.05.098.Isotherm5"
DOI,"10.1016/j.egypro.2013.05.098"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.160287"
total_adsorption,"2.52236"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.52236"
line_id,"2"
pressure,"0.16126"
total_adsorption,"2.82918"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.82918"
line_id,"3"
pressure,"0.273634"
total_adsorption,"2.24938"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.24938"
line_id,"4"
pressure,"0.386332"
total_adsorption,"1.77185"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.77185"
line_id,"5"
pressure,"0.689384"
total_adsorption,"1.29389"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.29389"
line_id,"6"
pressure,"0.992977"
total_adsorption,"0.98638"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.98638"
line_id,"7"
pressure,"1.48703"
total_adsorption,"0.712529"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.712529"
line_id,"8"
pressure,"1.90527"
total_adsorption,"0.541124"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.541124"
line_id,"9"
pressure,"2.32351"
total_adsorption,"0.369719"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.369719"
line_id,"10"
pressure,"2.81832"
total_adsorption,"0.334504"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.334504"
line_id,"11"
pressure,"3.19881"
total_adsorption,"0.265457"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.265457"
line_id,"12"
pressure,"3.54123"
total_adsorption,"0.196497"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.196497"
line_id,"13"
pressure,"4.26458"
total_adsorption,"0.194853"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.194853"
line_id,"14"
pressure,"4.60711"
total_adsorption,"0.159984"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.159984"
line_id,"15"
pressure,"5.06363"
total_adsorption,"0.0566736"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0566736"
line_id,"16"
pressure,"5.55844"
total_adsorption,"0.0214581"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0214581"
line_id,"17"
pressure,"6.01519"
total_adsorption,"-0.0136709"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"-0.0136709"
line_id,"18"
pressure,"6.58636"
total_adsorption,"0.0191219"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0191219"
line_id,"19"
pressure,"7.00503"
total_adsorption,"-0.0159205"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"-0.0159205"
line_id,"20"
pressure,"7.34766"
total_adsorption,"-0.0166992"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"-0.0166992"
line_id,"21"
pressure,"7.91872"
total_adsorption,"-0.0179971"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"-0.0179971"
line_id,"22"
pressure,"8.29943"
total_adsorption,"-0.0188623"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"-0.0188623"
line_id,"23"
pressure,"8.56582"
total_adsorption,"-0.0535587"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"-0.0535587"
line_id,"24"
pressure,"8.98449"
total_adsorption,"-0.0886011"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"-0.0886011"
line_id,"25"
pressure,"9.3652"
total_adsorption,"-0.0894664"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"-0.0894664"
line_id,"26"
pressure,"10.1267"
total_adsorption,"-0.0571062"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"-0.0571062"
line_id,"27"
pressure,"10.6216"
total_adsorption,"-0.058231"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"-0.058231"
line_id,"28"
pressure,"11.1166"
total_adsorption,"-0.0593558"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"-0.0593558"
line_id,"29"
pressure,"11.5353"
total_adsorption,"-0.0603076"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"-0.0603076"
line_id,"30"
pressure,"12.1825"
total_adsorption,"-0.0617785"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"-0.0617785"
line_id,"31"
pressure,"12.8299"
total_adsorption,"-0.0291588"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"-0.0291588"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.160287","1","2.52236","2.52236"
2,"0.16126","1","2.82918","2.82918"
3,"0.273634","1","2.24938","2.24938"
4,"0.386332","1","1.77185","1.77185"
5,"0.689384","1","1.29389","1.29389"
6,"0.992977","1","0.98638","0.98638"
7,"1.48703","1","0.712529","0.712529"
8,"1.90527","1","0.541124","0.541124"
9,"2.32351","1","0.369719","0.369719"
10,"2.81832","1","0.334504","0.334504"
11,"3.19881","1","0.265457","0.265457"
12,"3.54123","1","0.196497","0.196497"
13,"4.26458","1","0.194853","0.194853"
14,"4.60711","1","0.159984","0.159984"
15,"5.06363","1","0.0566736","0.0566736"
16,"5.55844","1","0.0214581","0.0214581"
17,"6.01519","1","-0.0136709","-0.0136709"
18,"6.58636","1","0.0191219","0.0191219"
19,"7.00503","1","-0.0159205","-0.0159205"
20,"7.34766","1","-0.0166992","-0.0166992"
21,"7.91872","1","-0.0179971","-0.0179971"
22,"8.29943","1","-0.0188623","-0.0188623"
23,"8.56582","1","-0.0535587","-0.0535587"
24,"8.98449","1","-0.0886011","-0.0886011"
25,"9.3652","1","-0.0894664","-0.0894664"
26,"10.1267","1","-0.0571062","-0.0571062"
27,"10.6216","1","-0.058231","-0.058231"
28,"11.1166","1","-0.0593558","-0.0593558"
29,"11.5353","1","-0.0603076","-0.0603076"
30,"12.1825","1","-0.0617785","-0.0617785"
31,"12.8299","1","-0.0291588","-0.0291588"
