
filename,"10.1016j.ijggc.2009.04.005.Isotherm7"
DOI,"10.1016/j.ijggc.2009.04.005"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"353"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"-2.45E-5"
total_adsorption,"0.0326087"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0326087"
line_id,"2"
pressure,"0.0181363"
total_adsorption,"0.315217"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.315217"
line_id,"3"
pressure,"0.0519066"
total_adsorption,"0.782609"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.782609"
line_id,"4"
pressure,"0.0988898"
total_adsorption,"1.13043"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.13043"
line_id,"5"
pressure,"0.145971"
total_adsorption,"1.34783"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.34783"
line_id,"6"
pressure,"0.198326"
total_adsorption,"1.53261"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.53261"
line_id,"7"
pressure,"0.284793"
total_adsorption,"1.72826"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.72826"
line_id,"8"
pressure,"0.392299"
total_adsorption,"1.86957"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.86957"
line_id,"9"
pressure,"0.494588"
total_adsorption,"1.96739"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.96739"
line_id,"10"
pressure,"0.699214"
total_adsorption,"2.09783"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.09783"
line_id,"11"
pressure,"1.00099"
total_adsorption,"2.18478"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.18478"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"-2.45E-5","1","0.0326087","0.0326087"
2,"0.0181363","1","0.315217","0.315217"
3,"0.0519066","1","0.782609","0.782609"
4,"0.0988898","1","1.13043","1.13043"
5,"0.145971","1","1.34783","1.34783"
6,"0.198326","1","1.53261","1.53261"
7,"0.284793","1","1.72826","1.72826"
8,"0.392299","1","1.86957","1.86957"
9,"0.494588","1","1.96739","1.96739"
10,"0.699214","1","2.09783","2.09783"
11,"1.00099","1","2.18478","2.18478"
