
filename,"10.1016j.ijggc.2011.10.007.isotherm1"
DOI,"10.1016/j.ijggc.2011.10.007"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-499290019152654e4f76dc66546b6475"
name,"Zeolite X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"308"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.011236"
total_adsorption,"0.072738"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.072738"
line_id,"2"
pressure,"0.11236"
total_adsorption,"0.399445"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.399445"
line_id,"3"
pressure,"0.162921"
total_adsorption,"1.30976"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.30976"
line_id,"4"
pressure,"0.219101"
total_adsorption,"2.07426"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.07426"
line_id,"5"
pressure,"0.308989"
total_adsorption,"2.61973"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.61973"
line_id,"6"
pressure,"0.398876"
total_adsorption,"3.00123"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.00123"
line_id,"7"
pressure,"0.533708"
total_adsorption,"3.34574"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.34574"
line_id,"8"
pressure,"0.679775"
total_adsorption,"3.58081"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.58081"
line_id,"9"
pressure,"0.842697"
total_adsorption,"3.76102"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.76102"
line_id,"10"
pressure,"1.01685"
total_adsorption,"3.90465"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.90465"
line_id,"11"
pressure,"1.11236"
total_adsorption,"3.97637"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.97637"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.011236","1","0.072738","0.072738"
2,"0.11236","1","0.399445","0.399445"
3,"0.162921","1","1.30976","1.30976"
4,"0.219101","1","2.07426","2.07426"
5,"0.308989","1","2.61973","2.61973"
6,"0.398876","1","3.00123","3.00123"
7,"0.533708","1","3.34574","3.34574"
8,"0.679775","1","3.58081","3.58081"
9,"0.842697","1","3.76102","3.76102"
10,"1.01685","1","3.90465","3.90465"
11,"1.11236","1","3.97637","3.97637"
