
filename,"10.1016j.jcis.2010.09.065.isotherm4a"
DOI,"10.1016/j.jcis.2010.09.065"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"278"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0110497"
total_adsorption,"1.51551"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.51551"
line_id,"2"
pressure,"0.0303867"
total_adsorption,"2.08915"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.08915"
line_id,"3"
pressure,"0.0635359"
total_adsorption,"2.48551"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.48551"
line_id,"4"
pressure,"0.11326"
total_adsorption,"2.81383"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.81383"
line_id,"5"
pressure,"0.196133"
total_adsorption,"3.04705"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.04705"
line_id,"6"
pressure,"0.270718"
total_adsorption,"3.19824"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.19824"
line_id,"7"
pressure,"0.39779"
total_adsorption,"3.37744"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.37744"
line_id,"8"
pressure,"0.538674"
total_adsorption,"3.50223"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.50223"
line_id,"9"
pressure,"0.657459"
total_adsorption,"3.53116"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.53116"
line_id,"10"
pressure,"0.798343"
total_adsorption,"3.62865"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.62865"
line_id,"11"
pressure,"0.933702"
total_adsorption,"3.67145"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.67145"
line_id,"12"
pressure,"1.01657"
total_adsorption,"3.71354"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.71354"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0110497","1","1.51551","1.51551"
2,"0.0303867","1","2.08915","2.08915"
3,"0.0635359","1","2.48551","2.48551"
4,"0.11326","1","2.81383","2.81383"
5,"0.196133","1","3.04705","3.04705"
6,"0.270718","1","3.19824","3.19824"
7,"0.39779","1","3.37744","3.37744"
8,"0.538674","1","3.50223","3.50223"
9,"0.657459","1","3.53116","3.53116"
10,"0.798343","1","3.62865","3.62865"
11,"0.933702","1","3.67145","3.67145"
12,"1.01657","1","3.71354","3.71354"
