
filename,"10.1016j.jcis.2010.09.065.isotherm4b"
DOI,"10.1016/j.jcis.2010.09.065"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"278"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0110497"
total_adsorption,"1.51551"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.51551"
line_id,"2"
pressure,"0.0248619"
total_adsorption,"2.14368"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.14368"
line_id,"3"
pressure,"0.0662983"
total_adsorption,"2.75858"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.75858"
line_id,"4"
pressure,"0.121547"
total_adsorption,"3.04603"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.04603"
line_id,"5"
pressure,"0.19337"
total_adsorption,"3.21083"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.21083"
line_id,"6"
pressure,"0.270718"
total_adsorption,"3.2938"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.2938"
line_id,"7"
pressure,"0.39779"
total_adsorption,"3.37744"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.37744"
line_id,"8"
pressure,"0.538674"
total_adsorption,"3.40667"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.40667"
line_id,"9"
pressure,"0.660221"
total_adsorption,"3.43563"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.43563"
line_id,"10"
pressure,"0.812155"
total_adsorption,"3.45136"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.45136"
line_id,"11"
pressure,"0.939227"
total_adsorption,"3.4531"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.4531"
line_id,"12"
pressure,"1.04696"
total_adsorption,"3.45457"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.45457"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0110497","1","1.51551","1.51551"
2,"0.0248619","1","2.14368","2.14368"
3,"0.0662983","1","2.75858","2.75858"
4,"0.121547","1","3.04603","3.04603"
5,"0.19337","1","3.21083","3.21083"
6,"0.270718","1","3.2938","3.2938"
7,"0.39779","1","3.37744","3.37744"
8,"0.538674","1","3.40667","3.40667"
9,"0.660221","1","3.43563","3.43563"
10,"0.812155","1","3.45136","3.45136"
11,"0.939227","1","3.4531","3.4531"
12,"1.04696","1","3.45457","3.45457"
