
filename,"10.1016j.jcis.2010.09.065.isotherm4c"
DOI,"10.1016/j.jcis.2010.09.065"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0138122"
total_adsorption,"1.1606"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.1606"
line_id,"2"
pressure,"0.0331492"
total_adsorption,"1.63868"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.63868"
line_id,"3"
pressure,"0.0662983"
total_adsorption,"1.93947"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.93947"
line_id,"4"
pressure,"0.132597"
total_adsorption,"2.33628"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.33628"
line_id,"5"
pressure,"0.198895"
total_adsorption,"2.55562"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.55562"
line_id,"6"
pressure,"0.325967"
total_adsorption,"2.80308"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.80308"
line_id,"7"
pressure,"0.38674"
total_adsorption,"2.91313"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.91313"
line_id,"8"
pressure,"0.533149"
total_adsorption,"3.05165"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.05165"
line_id,"9"
pressure,"0.660221"
total_adsorption,"3.17625"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.17625"
line_id,"10"
pressure,"0.798343"
total_adsorption,"3.24639"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.24639"
line_id,"11"
pressure,"0.933702"
total_adsorption,"3.3438"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.3438"
line_id,"12"
pressure,"1.01934"
total_adsorption,"3.35863"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.35863"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0138122","1","1.1606","1.1606"
2,"0.0331492","1","1.63868","1.63868"
3,"0.0662983","1","1.93947","1.93947"
4,"0.132597","1","2.33628","2.33628"
5,"0.198895","1","2.55562","2.55562"
6,"0.325967","1","2.80308","2.80308"
7,"0.38674","1","2.91313","2.91313"
8,"0.533149","1","3.05165","3.05165"
9,"0.660221","1","3.17625","3.17625"
10,"0.798343","1","3.24639","3.24639"
11,"0.933702","1","3.3438","3.3438"
12,"1.01934","1","3.35863","3.35863"
