
filename,"10.1016j.jcis.2010.09.065.isotherm4d"
DOI,"10.1016/j.jcis.2010.09.065"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0165746"
total_adsorption,"1.2289"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.2289"
line_id,"2"
pressure,"0.058011"
total_adsorption,"2.03492"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.03492"
line_id,"3"
pressure,"0.0883978"
total_adsorption,"2.34933"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.34933"
line_id,"4"
pressure,"0.149171"
total_adsorption,"2.6232"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.6232"
line_id,"5"
pressure,"0.229282"
total_adsorption,"2.80176"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.80176"
line_id,"6"
pressure,"0.31768"
total_adsorption,"2.89853"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.89853"
line_id,"7"
pressure,"0.38674"
total_adsorption,"2.92678"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.92678"
line_id,"8"
pressure,"0.538674"
total_adsorption,"2.99712"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.99712"
line_id,"9"
pressure,"0.696133"
total_adsorption,"3.05387"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.05387"
line_id,"10"
pressure,"0.803867"
total_adsorption,"3.05534"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.05534"
line_id,"11"
pressure,"0.930939"
total_adsorption,"3.07073"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.07073"
line_id,"12"
pressure,"1.04144"
total_adsorption,"3.08589"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.08589"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0165746","1","1.2289","1.2289"
2,"0.058011","1","2.03492","2.03492"
3,"0.0883978","1","2.34933","2.34933"
4,"0.149171","1","2.6232","2.6232"
5,"0.229282","1","2.80176","2.80176"
6,"0.31768","1","2.89853","2.89853"
7,"0.38674","1","2.92678","2.92678"
8,"0.538674","1","2.99712","2.99712"
9,"0.696133","1","3.05387","3.05387"
10,"0.803867","1","3.05534","3.05534"
11,"0.930939","1","3.07073","3.07073"
12,"1.04144","1","3.08589","3.08589"
