
filename,"10.1016j.jcis.2010.09.065.isotherm4e"
DOI,"10.1016/j.jcis.2010.09.065"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"318"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0303867"
total_adsorption,"1.06526"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.06526"
line_id,"2"
pressure,"0.0911602"
total_adsorption,"1.58486"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.58486"
line_id,"3"
pressure,"0.129834"
total_adsorption,"1.76286"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.76286"
line_id,"4"
pressure,"0.19337"
total_adsorption,"1.99581"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.99581"
line_id,"5"
pressure,"0.262431"
total_adsorption,"2.16058"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.16058"
line_id,"6"
pressure,"0.328729"
total_adsorption,"2.31166"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.31166"
line_id,"7"
pressure,"0.395028"
total_adsorption,"2.42178"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.42178"
line_id,"8"
pressure,"0.530387"
total_adsorption,"2.6011"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.6011"
line_id,"9"
pressure,"0.662983"
total_adsorption,"2.72577"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.72577"
line_id,"10"
pressure,"0.798343"
total_adsorption,"2.80953"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.80953"
line_id,"11"
pressure,"0.930939"
total_adsorption,"2.90691"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.90691"
line_id,"12"
pressure,"1.01381"
total_adsorption,"2.94899"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.94899"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0303867","1","1.06526","1.06526"
2,"0.0911602","1","1.58486","1.58486"
3,"0.129834","1","1.76286","1.76286"
4,"0.19337","1","1.99581","1.99581"
5,"0.262431","1","2.16058","2.16058"
6,"0.328729","1","2.31166","2.31166"
7,"0.395028","1","2.42178","2.42178"
8,"0.530387","1","2.6011","2.6011"
9,"0.662983","1","2.72577","2.72577"
10,"0.798343","1","2.80953","2.80953"
11,"0.930939","1","2.90691","2.90691"
12,"1.01381","1","2.94899","2.94899"
