
filename,"10.1016j.jcis.2010.09.065.isotherm4f"
DOI,"10.1016/j.jcis.2010.09.065"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"318"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0303867"
total_adsorption,"0.887787"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.887787"
line_id,"2"
pressure,"0.0773481"
total_adsorption,"1.53007"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.53007"
line_id,"3"
pressure,"0.121547"
total_adsorption,"1.84466"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.84466"
line_id,"4"
pressure,"0.19337"
total_adsorption,"2.14598"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.14598"
line_id,"5"
pressure,"0.256906"
total_adsorption,"2.31067"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.31067"
line_id,"6"
pressure,"0.328729"
total_adsorption,"2.42087"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.42087"
line_id,"7"
pressure,"0.395028"
total_adsorption,"2.51734"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.51734"
line_id,"8"
pressure,"0.530387"
total_adsorption,"2.6284"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.6284"
line_id,"9"
pressure,"0.660221"
total_adsorption,"2.68478"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.68478"
line_id,"10"
pressure,"0.803867"
total_adsorption,"2.74135"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.74135"
line_id,"11"
pressure,"0.91989"
total_adsorption,"2.78389"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.78389"
line_id,"12"
pressure,"1.0442"
total_adsorption,"2.78559"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.78559"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0303867","1","0.887787","0.887787"
2,"0.0773481","1","1.53007","1.53007"
3,"0.121547","1","1.84466","1.84466"
4,"0.19337","1","2.14598","2.14598"
5,"0.256906","1","2.31067","2.31067"
6,"0.328729","1","2.42087","2.42087"
7,"0.395028","1","2.51734","2.51734"
8,"0.530387","1","2.6284","2.6284"
9,"0.660221","1","2.68478","2.68478"
10,"0.803867","1","2.74135","2.74135"
11,"0.91989","1","2.78389","2.78389"
12,"1.0442","1","2.78559","2.78559"
