
filename,"10.1016j.jcis.2011.09.019.isotherm21"
DOI,"10.1016/j.jcis.2011.09.019"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mg/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0417962"
total_adsorption,"8.469"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"8.469"
line_id,"2"
pressure,"1.22489"
total_adsorption,"79.4549"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"79.4549"
line_id,"3"
pressure,"2.61926"
total_adsorption,"120.018"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"120.018"
line_id,"4"
pressure,"4.3094"
total_adsorption,"147.061"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"147.061"
line_id,"5"
pressure,"7.52067"
total_adsorption,"174.103"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"174.103"
line_id,"6"
pressure,"10.6052"
total_adsorption,"196.075"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"196.075"
line_id,"7"
pressure,"14.1122"
total_adsorption,"216.356"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"216.356"
line_id,"8"
pressure,"17.3657"
total_adsorption,"240.018"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"240.018"
line_id,"9"
pressure,"20.6615"
total_adsorption,"260.3"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"260.3"
line_id,"10"
pressure,"23.9573"
total_adsorption,"292.413"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"292.413"
line_id,"11"
pressure,"25.4362"
total_adsorption,"302.553"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"302.553"
line_id,"12"
pressure,"26.9995"
total_adsorption,"319.455"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"319.455"
line_id,"13"
pressure,"28.6897"
total_adsorption,"334.666"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"334.666"
line_id,"14"
pressure,"30.2108"
total_adsorption,"346.497"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"346.497"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0417962","1","8.469","8.469"
2,"1.22489","1","79.4549","79.4549"
3,"2.61926","1","120.018","120.018"
4,"4.3094","1","147.061","147.061"
5,"7.52067","1","174.103","174.103"
6,"10.6052","1","196.075","196.075"
7,"14.1122","1","216.356","216.356"
8,"17.3657","1","240.018","240.018"
9,"20.6615","1","260.3","260.3"
10,"23.9573","1","292.413","292.413"
11,"25.4362","1","302.553","302.553"
12,"26.9995","1","319.455","319.455"
13,"28.6897","1","334.666","334.666"
14,"30.2108","1","346.497","346.497"
