
filename,"10.1016j.jclepro.2015.03.082.Isotherm2"
DOI,"10.1016/j.jclepro.2015.03.082"
articleSource,"Figure 3a- CO2 langmuir fitting"
date,"2018-07-18"
digitizer,"Julie Yagodich"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"mod"
temperature,"323"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,""
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00518"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.00011"
line_id,"2"
pressure,"0.02871"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.000379"
line_id,"3"
pressure,"0.05782"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.000714"
line_id,"4"
pressure,"0.09772"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.001042"
line_id,"5"
pressure,"0.12245"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.001238"
line_id,"6"
pressure,"0.15378"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.00142"
line_id,"7"
pressure,"0.22223"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.001758"
line_id,"8"
pressure,"0.26913"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.001929"
line_id,"9"
pressure,"0.34498"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.002148"
line_id,"10"
pressure,"0.40247"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.002293"
line_id,"11"
pressure,"0.49529"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.00248"
line_id,"12"
pressure,"0.57654"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.002603"
line_id,"13"
pressure,"0.68774"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.002737"
line_id,"14"
pressure,"0.86583"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.002903"
line_id,"15"
pressure,"1.00299"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.002994"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.00518","1","0.00011",""
2,"0.02871","1","0.000379",""
3,"0.05782","1","0.000714",""
4,"0.09772","1","0.001042",""
5,"0.12245","1","0.001238",""
6,"0.15378","1","0.00142",""
7,"0.22223","1","0.001758",""
8,"0.26913","1","0.001929",""
9,"0.34498","1","0.002148",""
10,"0.40247","1","0.002293",""
11,"0.49529","1","0.00248",""
12,"0.57654","1","0.002603",""
13,"0.68774","1","0.002737",""
14,"0.86583","1","0.002903",""
15,"1.00299","1","0.002994",""
