
filename,"10.1016j.jcou.2017.05.003.Isotherm6"
DOI,"10.1016/j.jcou.2017.05.003"
articleSource,"Figure 3"
date,"2019-07-24"
digitizer,"Justin Chen"
adsorbent
hashkey,"NIST-MATDB-3e8c556659f01d675e89cba4c9b2d177"
name,"binderless 5A zeolite"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"305"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"moleratio"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0382"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.535"
line_id,"2"
pressure,"0.0501"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.8066"
line_id,"3"
pressure,"0.1032"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.387"
line_id,"4"
pressure,"0.1942"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.7256"
line_id,"5"
pressure,"0.3146"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.9557"
line_id,"6"
pressure,"0.4473"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.1092"
line_id,"7"
pressure,"0.6969"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.283"
line_id,"8"
pressure,"1.3949"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.5475"
line_id,"9"
pressure,"2.1284"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.6969"
line_id,"10"
pressure,"3.0923"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.8438"
line_id,"11"
pressure,"3.6357"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.9081"
line_id,"12"
pressure,"4.0778"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.9472"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0382","1","2.535",""
2,"0.0501","1","2.8066",""
3,"0.1032","1","3.387",""
4,"0.1942","1","3.7256",""
5,"0.3146","1","3.9557",""
6,"0.4473","1","4.1092",""
7,"0.6969","1","4.283",""
8,"1.3949","1","4.5475",""
9,"2.1284","1","4.6969",""
10,"3.0923","1","4.8438",""
11,"3.6357","1","4.9081",""
12,"4.0778","1","4.9472",""
