
filename,"10.1016j.jiec.2018.03.014.Isotherm11"
DOI,"10.1016/j.jiec.2018.03.014"
articleSource,"Figure 4"
date,"2020-12-31"
digitizer,"BISON-20 Team"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"343"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"1"
total_adsorption,"1.44"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.44"
line_id,"2"
pressure,"2"
total_adsorption,"2.52"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.52"
line_id,"3"
pressure,"3"
total_adsorption,"3.15"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.15"
line_id,"4"
pressure,"4"
total_adsorption,"3.39"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.39"
line_id,"5"
pressure,"5"
total_adsorption,"3.54"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.54"
line_id,"6"
pressure,"6"
total_adsorption,"3.64"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.64"
line_id,"7"
pressure,"7"
total_adsorption,"3.68"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.68"
line_id,"8"
pressure,"8"
total_adsorption,"3.73"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.73"
line_id,"9"
pressure,"9"
total_adsorption,"3.75"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.75"
line_id,"10"
pressure,"10"
total_adsorption,"3.78"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.78"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"1","1","1.44","1.44"
2,"2","1","2.52","2.52"
3,"3","1","3.15","3.15"
4,"4","1","3.39","3.39"
5,"5","1","3.54","3.54"
6,"6","1","3.64","3.64"
7,"7","1","3.68","3.68"
8,"8","1","3.73","3.73"
9,"9","1","3.75","3.75"
10,"10","1","3.78","3.78"
