
filename,"10.1016j.matlet.2011.03.039.Isotherm6"
DOI,"10.1016/j.matlet.2011.03.039"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.510204"
total_adsorption,"2.62181"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.62181"
line_id,"2"
pressure,"0.918367"
total_adsorption,"5.24362"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.24362"
line_id,"3"
pressure,"2.95918"
total_adsorption,"6.03017"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.03017"
line_id,"4"
pressure,"4.08163"
total_adsorption,"6.11756"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.11756"
line_id,"5"
pressure,"5.91837"
total_adsorption,"6.46714"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.46714"
line_id,"6"
pressure,"7.14286"
total_adsorption,"6.55453"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.55453"
line_id,"7"
pressure,"7.85714"
total_adsorption,"6.46714"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.46714"
line_id,"8"
pressure,"8.97959"
total_adsorption,"6.46714"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.46714"
line_id,"9"
pressure,"10"
total_adsorption,"6.46714"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.46714"
line_id,"10"
pressure,"11.8367"
total_adsorption,"6.55453"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.55453"
line_id,"11"
pressure,"13.7755"
total_adsorption,"6.64192"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.64192"
line_id,"12"
pressure,"15.9184"
total_adsorption,"6.64192"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.64192"
line_id,"13"
pressure,"17.9592"
total_adsorption,"6.64192"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.64192"
line_id,"14"
pressure,"19.898"
total_adsorption,"6.64192"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.64192"
line_id,"15"
pressure,"21.9388"
total_adsorption,"6.72932"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.72932"
line_id,"16"
pressure,"23.9796"
total_adsorption,"6.72932"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.72932"
line_id,"17"
pressure,"26.0204"
total_adsorption,"6.72932"
