
filename,"10.1016j.micromeso.2008.10.014.isotherm16"
DOI,"10.1016/j.micromeso.2008.10.014"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-c422d2007633d4bce61c708dc86bfc2d"
name,"Zeolite Na-Y"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"303"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"molecules/unitcell"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.169451"
total_adsorption,"0.0223881"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0223881"
line_id,"2"
pressure,"0.496371"
total_adsorption,"0.171642"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.171642"
line_id,"3"
pressure,"1.10485"
total_adsorption,"0.365672"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.365672"
line_id,"4"
pressure,"1.38257"
total_adsorption,"0.44403"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.44403"
line_id,"5"
pressure,"1.59652"
total_adsorption,"0.578358"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.578358"
line_id,"6"
pressure,"1.87038"
total_adsorption,"0.690299"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.690299"
line_id,"7"
pressure,"2.89393"
total_adsorption,"0.764925"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.764925"
line_id,"8"
pressure,"3.80452"
total_adsorption,"0.824627"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.824627"
line_id,"9"
pressure,"5.74807"
total_adsorption,"0.876866"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.876866"
line_id,"10"
pressure,"7.46654"
total_adsorption,"0.891791"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.891791"
line_id,"11"
pressure,"9.47171"
total_adsorption,"0.906716"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.906716"
line_id,"12"
pressure,"11.3044"
total_adsorption,"0.925373"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.925373"
line_id,"13"
pressure,"13.082"
total_adsorption,"0.925373"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.925373"
line_id,"14"
pressure,"14.7431"
total_adsorption,"0.940299"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.940299"
line_id,"15"
pressure,"16.5206"
total_adsorption,"0.940299"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.940299"
line_id,"16"
pressure,"18.0692"
total_adsorption,"0.936567"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.936567"
line_id,"17"
pressure,"19.845"
total_adsorption,"0.951493"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.951493"
line_id,"18"
pressure,"21.3363"
total_adsorption,"0.947761"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.947761"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.169451","1","0.0223881","0.0223881"
2,"0.496371","1","0.171642","0.171642"
3,"1.10485","1","0.365672","0.365672"
4,"1.38257","1","0.44403","0.44403"
5,"1.59652","1","0.578358","0.578358"
6,"1.87038","1","0.690299","0.690299"
7,"2.89393","1","0.764925","0.764925"
8,"3.80452","1","0.824627","0.824627"
9,"5.74807","1","0.876866","0.876866"
10,"7.46654","1","0.891791","0.891791"
11,"9.47171","1","0.906716","0.906716"
12,"11.3044","1","0.925373","0.925373"
13,"13.082","1","0.925373","0.925373"
14,"14.7431","1","0.940299","0.940299"
15,"16.5206","1","0.940299","0.940299"
16,"18.0692","1","0.936567","0.936567"
17,"19.845","1","0.951493","0.951493"
18,"21.3363","1","0.947761","0.947761"
