
filename,"10.1016j.micromeso.2015.05.044.Isotherm12"
DOI,"10.1016/j.micromeso.2015.05.044"
articleSource,"Figure 3a, Figure 3b"
date,"2020-12-31"
digitizer,"BISON-20 Team"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0253"
total_adsorption,"2.73"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.73"
line_id,"2"
pressure,"0.033"
total_adsorption,"2.91"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.91"
line_id,"3"
pressure,"0.056"
total_adsorption,"3.33"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.33"
line_id,"4"
pressure,"0.0867"
total_adsorption,"3.69"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.69"
line_id,"5"
pressure,"0.099"
total_adsorption,"3.84"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.84"
line_id,"6"
pressure,"0.198"
total_adsorption,"4.32"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.32"
line_id,"7"
pressure,"0.286"
total_adsorption,"4.59"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.59"
line_id,"8"
pressure,"0.31"
total_adsorption,"4.68"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.68"
line_id,"9"
pressure,"0.484"
total_adsorption,"4.93"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.93"
line_id,"10"
pressure,"0.737"
total_adsorption,"5.17"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.17"
line_id,"11"
pressure,"1.01"
total_adsorption,"5.35"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.35"
line_id,"12"
pressure,"1.01"
total_adsorption,"5.39"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.39"
line_id,"13"
pressure,"1.51"
total_adsorption,"5.58"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.58"
line_id,"14"
pressure,"2.01"
total_adsorption,"5.73"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.73"
line_id,"15"
pressure,"2.8"
total_adsorption,"5.89"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.89"
line_id,"16"
pressure,"2.83"
total_adsorption,"5.93"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.93"
line_id,"17"
pressure,"3.81"
total_adsorption,"6.06"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.06"
line_id,"18"
pressure,"5.01"
total_adsorption,"6.19"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.19"
line_id,"19"
pressure,"7.01"
total_adsorption,"6.34"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.34"
line_id,"20"
pressure,"10"
total_adsorption,"6.49"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.49"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0253","1","2.73","2.73"
2,"0.033","1","2.91","2.91"
3,"0.056","1","3.33","3.33"
4,"0.0867","1","3.69","3.69"
5,"0.099","1","3.84","3.84"
6,"0.198","1","4.32","4.32"
7,"0.286","1","4.59","4.59"
8,"0.31","1","4.68","4.68"
9,"0.484","1","4.93","4.93"
10,"0.737","1","5.17","5.17"
11,"1.01","1","5.35","5.35"
12,"1.01","1","5.39","5.39"
13,"1.51","1","5.58","5.58"
14,"2.01","1","5.73","5.73"
15,"2.8","1","5.89","5.89"
16,"2.83","1","5.93","5.93"
17,"3.81","1","6.06","6.06"
18,"5.01","1","6.19","6.19"
19,"7.01","1","6.34","6.34"
20,"10","1","6.49","6.49"
