
filename,"10.1016j.supflu.2016.01.008.Isotherm6"
DOI,"10.1016/j.supflu.2016.01.008"
articleSource,"Figure 2- 323"
date,"2018-07-16"
digitizer,"Julie Yagodich"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"323"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0441"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.23712"
line_id,"2"
pressure,"0.0992"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.62001"
line_id,"3"
pressure,"0.1614"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.00745"
line_id,"4"
pressure,"0.3144"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.54941"
line_id,"5"
pressure,"0.5119"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.93913"
line_id,"6"
pressure,"0.7397"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.25044"
line_id,"7"
pressure,"0.9498"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.45496"
line_id,"8"
pressure,"1.1651"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.63902"
line_id,"9"
pressure,"1.3681"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.74582"
line_id,"10"
pressure,"1.5799"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.84694"
line_id,"11"
pressure,"1.9502"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.97761"
line_id,"12"
pressure,"2.9579"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.25484"
line_id,"13"
pressure,"3.9691"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.46844"
line_id,"14"
pressure,"4.9429"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.62751"
line_id,"15"
pressure,"5.8865"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.76498"
line_id,"16"
pressure,"6.8711"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.92292"
line_id,"17"
pressure,"7.95"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.02858"
line_id,"18"
pressure,"8.9131"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.13766"
line_id,"19"
pressure,"10.0134"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.21832"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0441","1","1.23712",""
2,"0.0992","1","1.62001",""
3,"0.1614","1","2.00745",""
4,"0.3144","1","2.54941",""
5,"0.5119","1","2.93913",""
6,"0.7397","1","3.25044",""
7,"0.9498","1","3.45496",""
8,"1.1651","1","3.63902",""
9,"1.3681","1","3.74582",""
10,"1.5799","1","3.84694",""
11,"1.9502","1","3.97761",""
12,"2.9579","1","4.25484",""
13,"3.9691","1","4.46844",""
14,"4.9429","1","4.62751",""
15,"5.8865","1","4.76498",""
16,"6.8711","1","4.92292",""
17,"7.95","1","5.02858",""
18,"8.9131","1","5.13766",""
19,"10.0134","1","5.21832",""
