
filename,"10.1016s0167-2991(08)63564-8.Isotherm1"
DOI,"10.1016/s0167-2991(08)63564-8"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"303"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.1009"
total_adsorption,"3.1574"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.1574"
line_id,"2"
pressure,"0.296565"
total_adsorption,"3.79552"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.79552"
line_id,"3"
pressure,"0.482385"
total_adsorption,"4.05342"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.05342"
line_id,"4"
pressure,"0.706296"
total_adsorption,"4.2723"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.2723"
line_id,"5"
pressure,"0.955694"
total_adsorption,"4.2723"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.2723"
line_id,"6"
pressure,"1.11903"
total_adsorption,"4.32885"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.32885"
line_id,"7"
pressure,"2.13125"
total_adsorption,"4.50301"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.50301"
line_id,"8"
pressure,"2.80897"
total_adsorption,"4.68417"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.68417"
line_id,"9"
pressure,"3.90211"
total_adsorption,"4.74617"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.74617"
line_id,"10"
pressure,"5.14295"
total_adsorption,"4.74617"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.74617"
line_id,"11"
pressure,"6.34707"
total_adsorption,"4.93711"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.93711"
line_id,"12"
pressure,"7.23893"
total_adsorption,"5.00246"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.00246"
line_id,"13"
pressure,"8.04184"
total_adsorption,"5.00246"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.00246"
line_id,"14"
pressure,"9.05204"
total_adsorption,"5.00246"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.00246"
line_id,"15"
pressure,"10.324"
total_adsorption,"5.00246"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.00246"
line_id,"16"
pressure,"11.1714"
total_adsorption,"5.06866"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.06866"
line_id,"17"
pressure,"14.7238"
total_adsorption,"5.27259"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.27259"
line_id,"18"
pressure,"20.4537"
total_adsorption,"5.27259"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.27259"
line_id,"19"
pressure,"39.471"
total_adsorption,"5.41307"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.41307"
line_id,"20"
pressure,"50.6722"
total_adsorption,"5.41307"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.41307"
line_id,"21"
pressure,"96.5083"
total_adsorption,"5.48471"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.48471"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.1009","1","3.1574","3.1574"
2,"0.296565","1","3.79552","3.79552"
3,"0.482385","1","4.05342","4.05342"
4,"0.706296","1","4.2723","4.2723"
5,"0.955694","1","4.2723","4.2723"
6,"1.11903","1","4.32885","4.32885"
7,"2.13125","1","4.50301","4.50301"
8,"2.80897","1","4.68417","4.68417"
9,"3.90211","1","4.74617","4.74617"
10,"5.14295","1","4.74617","4.74617"
11,"6.34707","1","4.93711","4.93711"
12,"7.23893","1","5.00246","5.00246"
13,"8.04184","1","5.00246","5.00246"
14,"9.05204","1","5.00246","5.00246"
15,"10.324","1","5.00246","5.00246"
16,"11.1714","1","5.06866","5.06866"
17,"14.7238","1","5.27259","5.27259"
18,"20.4537","1","5.27259","5.27259"
19,"39.471","1","5.41307","5.41307"
20,"50.6722","1","5.41307","5.41307"
21,"96.5083","1","5.48471","5.48471"
