
filename,"10.1021Ef100679e.isotherm3a"
DOI,"10.1021/Ef100679e"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"wt%"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.180272"
total_adsorption,"8.0163"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"8.0163"
line_id,"2"
pressure,"0.380952"
total_adsorption,"10.8016"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"10.8016"
line_id,"3"
pressure,"0.581633"
total_adsorption,"12.3641"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"12.3641"
line_id,"4"
pressure,"0.782313"
total_adsorption,"13.519"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"13.519"
line_id,"5"
pressure,"1.03061"
total_adsorption,"14.1304"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"14.1304"
line_id,"6"
pressure,"1.46599"
total_adsorption,"15.0136"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"15.0136"
line_id,"7"
pressure,"1.96939"
total_adsorption,"15.7609"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"15.7609"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.180272","1","8.0163","8.0163"
2,"0.380952","1","10.8016","10.8016"
3,"0.581633","1","12.3641","12.3641"
4,"0.782313","1","13.519","13.519"
5,"1.03061","1","14.1304","14.1304"
6,"1.46599","1","15.0136","15.0136"
7,"1.96939","1","15.7609","15.7609"
