
filename,"10.1021Ef100679e.isotherm3b"
DOI,"10.1021/Ef100679e"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"343"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"wt%"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.176871"
total_adsorption,"2.44565"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.44565"
line_id,"2"
pressure,"0.380952"
total_adsorption,"4.34783"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.34783"
line_id,"3"
pressure,"0.578231"
total_adsorption,"5.63859"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.63859"
line_id,"4"
pressure,"0.77551"
total_adsorption,"6.79348"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.79348"
line_id,"5"
pressure,"1.02721"
total_adsorption,"7.8125"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"7.8125"
line_id,"6"
pressure,"1.46599"
total_adsorption,"9.30707"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"9.30707"
line_id,"7"
pressure,"1.96939"
total_adsorption,"10.394"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"10.394"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.176871","1","2.44565","2.44565"
2,"0.380952","1","4.34783","4.34783"
3,"0.578231","1","5.63859","5.63859"
4,"0.77551","1","6.79348","6.79348"
5,"1.02721","1","7.8125","7.8125"
6,"1.46599","1","9.30707","9.30707"
7,"1.96939","1","10.394","10.394"
