
filename,"10.1021Es9032309.Isotherm1"
DOI,"10.1021/Es9032309"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"wt%"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00665572"
total_adsorption,"0.42803"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.42803"
line_id,"2"
pressure,"0.00831965"
total_adsorption,"2.88798"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.88798"
line_id,"3"
pressure,"0.0382704"
total_adsorption,"10.3756"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"10.3756"
line_id,"4"
pressure,"0.0615654"
total_adsorption,"13.2641"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"13.2641"
line_id,"5"
pressure,"0.1015"
total_adsorption,"15.2975"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"15.2975"
line_id,"6"
pressure,"0.128123"
total_adsorption,"16.154"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"16.154"
line_id,"7"
pressure,"0.166393"
total_adsorption,"16.8327"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"16.8327"
line_id,"8"
pressure,"0.204663"
total_adsorption,"17.2974"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"17.2974"
line_id,"9"
pressure,"0.236278"
total_adsorption,"17.7619"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"17.7619"
line_id,"10"
pressure,"0.274548"
total_adsorption,"18.191"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"18.191"
line_id,"11"
pressure,"0.302835"
total_adsorption,"18.4058"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"18.4058"
line_id,"12"
pressure,"0.34277"
total_adsorption,"18.6211"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"18.6211"
line_id,"13"
pressure,"0.37272"
total_adsorption,"18.9073"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"18.9073"
line_id,"14"
pressure,"0.405999"
total_adsorption,"18.9797"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"18.9797"
line_id,"15"
pressure,"0.437614"
total_adsorption,"19.2303"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"19.2303"
line_id,"16"
pressure,"0.500843"
total_adsorption,"19.375"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"19.375"
line_id,"17"
pressure,"0.570728"
total_adsorption,"19.6626"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"19.6626"
line_id,"18"
pressure,"0.600679"
total_adsorption,"19.7705"
species_data
