
filename,"10.1021Ie8005269.isotherm12"
DOI,"10.1021/Ie8005269"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0120299"
total_adsorption,"1.13363"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.13363"
line_id,"2"
pressure,"0.0513576"
total_adsorption,"2.25229"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.25229"
line_id,"3"
pressure,"0.261106"
total_adsorption,"3.63313"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.63313"
line_id,"4"
pressure,"0.857576"
total_adsorption,"4.52456"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.52456"
line_id,"5"
pressure,"1.59169"
total_adsorption,"5.06641"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.06641"
line_id,"6"
pressure,"3.09926"
total_adsorption,"5.59078"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.59078"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0120299","1","1.13363","1.13363"
2,"0.0513576","1","2.25229","2.25229"
3,"0.261106","1","3.63313","3.63313"
4,"0.857576","1","4.52456","4.52456"
5,"1.59169","1","5.06641","5.06641"
6,"3.09926","1","5.59078","5.59078"
