
filename,"10.1021Ja0570032.Isotherm11"
DOI,"10.1021/Ja0570032"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"cm3(STP)/cm3"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.159011"
total_adsorption,"0.159011"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.159011"
line_id,"2"
pressure,"0.636042"
total_adsorption,"11.4236"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"11.4236"
line_id,"3"
pressure,"1.59011"
total_adsorption,"12.8819"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"12.8819"
line_id,"4"
pressure,"3.0212"
total_adsorption,"14.2188"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"14.2188"
line_id,"5"
pressure,"5.24735"
total_adsorption,"15.191"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"15.191"
line_id,"6"
pressure,"10.1767"
total_adsorption,"16.5278"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"16.5278"
line_id,"7"
pressure,"14.47"
total_adsorption,"17.5"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"17.5"
line_id,"8"
pressure,"19.3993"
total_adsorption,"17.7431"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"17.7431"
line_id,"9"
pressure,"22.8975"
total_adsorption,"17.9861"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"17.9861"
line_id,"10"
pressure,"26.7138"
total_adsorption,"18.3507"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"18.3507"
line_id,"11"
pressure,"32.1201"
total_adsorption,"18.8368"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"18.8368"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.159011","1","0.159011","0.159011"
2,"0.636042","1","11.4236","11.4236"
3,"1.59011","1","12.8819","12.8819"
4,"3.0212","1","14.2188","14.2188"
5,"5.24735","1","15.191","15.191"
6,"10.1767","1","16.5278","16.5278"
7,"14.47","1","17.5","17.5"
8,"19.3993","1","17.7431","17.7431"
9,"22.8975","1","17.9861","17.9861"
10,"26.7138","1","18.3507","18.3507"
11,"32.1201","1","18.8368","18.8368"
