
filename,"10.1021Ja111411q.isotherm21"
DOI,"10.1021/Ja111411q"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"313"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mol/l"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"1.01347"
total_adsorption,"0.108557"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.108557"
line_id,"2"
pressure,"4.9008"
total_adsorption,"1.15363"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.15363"
line_id,"3"
pressure,"10.1966"
total_adsorption,"1.56771"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.56771"
line_id,"4"
pressure,"14.929"
total_adsorption,"1.75504"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.75504"
line_id,"5"
pressure,"20.2247"
total_adsorption,"1.92264"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.92264"
line_id,"6"
pressure,"25.1825"
total_adsorption,"2.00152"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.00152"
line_id,"7"
pressure,"30.0276"
total_adsorption,"2.05081"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.05081"
line_id,"8"
pressure,"35.098"
total_adsorption,"2.12968"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.12968"
line_id,"9"
pressure,"39.8867"
total_adsorption,"2.17898"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.17898"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"1.01347","1","0.108557","0.108557"
2,"4.9008","1","1.15363","1.15363"
3,"10.1966","1","1.56771","1.56771"
4,"14.929","1","1.75504","1.75504"
5,"20.2247","1","1.92264","1.92264"
6,"25.1825","1","2.00152","2.00152"
7,"30.0276","1","2.05081","2.05081"
8,"35.098","1","2.12968","2.12968"
9,"39.8867","1","2.17898","2.17898"
