
filename,"10.1021Je1002225.isotherm6"
DOI,"10.1021/Je1002225"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"283"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00219011"
total_adsorption,"0.752219"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.752219"
line_id,"2"
pressure,"0.00219011"
total_adsorption,"1.34214"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.34214"
line_id,"3"
pressure,"0.0126775"
total_adsorption,"1.71356"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.71356"
line_id,"4"
pressure,"0.0231649"
total_adsorption,"2.12869"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.12869"
line_id,"5"
pressure,"0.0703582"
total_adsorption,"2.806"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.806"
line_id,"6"
pressure,"0.146392"
total_adsorption,"3.31945"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.31945"
line_id,"7"
pressure,"0.272241"
total_adsorption,"3.75642"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.75642"
line_id,"8"
pressure,"0.547535"
total_adsorption,"4.33541"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.33541"
line_id,"9"
pressure,"0.946056"
total_adsorption,"4.81608"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.81608"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.00219011","1","0.752219","0.752219"
2,"0.00219011","1","1.34214","1.34214"
3,"0.0126775","1","1.71356","1.71356"
4,"0.0231649","1","2.12869","2.12869"
5,"0.0703582","1","2.806","2.806"
6,"0.146392","1","3.31945","3.31945"
7,"0.272241","1","3.75642","3.75642"
8,"0.547535","1","4.33541","4.33541"
9,"0.946056","1","4.81608","4.81608"
