
filename,"10.1021Je800900a.Isotherm28"
DOI,"10.1021/Je800900a"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.000673349"
total_adsorption,"0.411535"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.411535"
line_id,"2"
pressure,"0.00156781"
total_adsorption,"0.567854"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.567854"
line_id,"3"
pressure,"0.00415742"
total_adsorption,"0.83079"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.83079"
line_id,"4"
pressure,"0.0105567"
total_adsorption,"1.21547"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.21547"
line_id,"5"
pressure,"0.0279936"
total_adsorption,"1.8045"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.8045"
line_id,"6"
pressure,"0.0548055"
total_adsorption,"2.34835"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.34835"
line_id,"7"
pressure,"0.11205"
total_adsorption,"2.96796"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.96796"
line_id,"8"
pressure,"0.161961"
total_adsorption,"3.33661"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.33661"
line_id,"9"
pressure,"0.303634"
total_adsorption,"3.9194"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.9194"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.000673349","1","0.411535","0.411535"
2,"0.00156781","1","0.567854","0.567854"
3,"0.00415742","1","0.83079","0.83079"
4,"0.0105567","1","1.21547","1.21547"
5,"0.0279936","1","1.8045","1.8045"
6,"0.0548055","1","2.34835","2.34835"
7,"0.11205","1","2.96796","2.96796"
8,"0.161961","1","3.33661","3.33661"
9,"0.303634","1","3.9194","3.9194"
