
filename,"10.1021Je800900a.Isotherm42"
DOI,"10.1021/Je800900a"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00115752"
total_adsorption,"0.469472"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.469472"
line_id,"2"
pressure,"0.00231583"
total_adsorption,"0.676874"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.676874"
line_id,"3"
pressure,"0.00365051"
total_adsorption,"0.843039"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.843039"
line_id,"4"
pressure,"0.00796483"
total_adsorption,"1.14636"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.14636"
line_id,"5"
pressure,"0.0256692"
total_adsorption,"1.60512"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.60512"
line_id,"6"
pressure,"0.0404631"
total_adsorption,"2.11968"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.11968"
line_id,"7"
pressure,"0.117015"
total_adsorption,"3.01172"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.01172"
line_id,"8"
pressure,"0.176628"
total_adsorption,"3.33661"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.33661"
line_id,"9"
pressure,"0.278426"
total_adsorption,"3.64285"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.64285"
line_id,"10"
pressure,"0.411263"
total_adsorption,"4.03582"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.03582"
line_id,"11"
pressure,"0.607477"
total_adsorption,"4.27914"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.27914"
line_id,"12"
pressure,"0.805156"
total_adsorption,"4.4712"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.4712"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.00115752","1","0.469472","0.469472"
2,"0.00231583","1","0.676874","0.676874"
3,"0.00365051","1","0.843039","0.843039"
4,"0.00796483","1","1.14636","1.14636"
5,"0.0256692","1","1.60512","1.60512"
6,"0.0404631","1","2.11968","2.11968"
7,"0.117015","1","3.01172","3.01172"
8,"0.176628","1","3.33661","3.33661"
9,"0.278426","1","3.64285","3.64285"
10,"0.411263","1","4.03582","4.03582"
11,"0.607477","1","4.27914","4.27914"
12,"0.805156","1","4.4712","4.4712"
