
filename,"10.1021Jp210240x.Isotherm4"
DOI,"10.1021/Jp210240x"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"273"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0037594"
total_adsorption,"1.28906"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.28906"
line_id,"2"
pressure,"0.0263158"
total_adsorption,"3.66514"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.66514"
line_id,"3"
pressure,"0.056391"
total_adsorption,"4.08695"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.08695"
line_id,"4"
pressure,"0.0827068"
total_adsorption,"4.28733"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.28733"
line_id,"5"
pressure,"0.131579"
total_adsorption,"4.44651"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.44651"
line_id,"6"
pressure,"0.161654"
total_adsorption,"4.56616"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.56616"
line_id,"7"
pressure,"0.214286"
total_adsorption,"4.64462"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.64462"
line_id,"8"
pressure,"0.263158"
total_adsorption,"4.68294"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.68294"
line_id,"9"
pressure,"0.319549"
total_adsorption,"4.78138"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.78138"
line_id,"10"
pressure,"0.360902"
total_adsorption,"4.82"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.82"
line_id,"11"
pressure,"0.417293"
total_adsorption,"4.87816"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.87816"
line_id,"12"
pressure,"0.466165"
total_adsorption,"4.91648"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.91648"
line_id,"13"
pressure,"0.515038"
total_adsorption,"4.9548"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.9548"
line_id,"14"
pressure,"0.56391"
total_adsorption,"4.97298"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.97298"
line_id,"15"
pressure,"0.616541"
total_adsorption,"5.01114"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.01114"
line_id,"16"
pressure,"0.665414"
total_adsorption,"5.04946"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.04946"
line_id,"17"
pressure,"0.714286"
total_adsorption,"5.06764"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.06764"
line_id,"18"
pressure,"0.770677"
total_adsorption,"5.08551"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.08551"
line_id,"19"
pressure,"0.819549"
total_adsorption,"5.14397"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.14397"
line_id,"20"
pressure,"0.921053"
total_adsorption,"5.18017"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.18017"
line_id,"21"
pressure,"0.969925"
total_adsorption,"5.19835"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.19835"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0037594","1","1.28906","1.28906"
2,"0.0263158","1","3.66514","3.66514"
3,"0.056391","1","4.08695","4.08695"
4,"0.0827068","1","4.28733","4.28733"
5,"0.131579","1","4.44651","4.44651"
6,"0.161654","1","4.56616","4.56616"
7,"0.214286","1","4.64462","4.64462"
8,"0.263158","1","4.68294","4.68294"
9,"0.319549","1","4.78138","4.78138"
10,"0.360902","1","4.82","4.82"
11,"0.417293","1","4.87816","4.87816"
12,"0.466165","1","4.91648","4.91648"
13,"0.515038","1","4.9548","4.9548"
14,"0.56391","1","4.97298","4.97298"
15,"0.616541","1","5.01114","5.01114"
16,"0.665414","1","5.04946","5.04946"
17,"0.714286","1","5.06764","5.06764"
18,"0.770677","1","5.08551","5.08551"
19,"0.819549","1","5.14397","5.14397"
20,"0.921053","1","5.18017","5.18017"
21,"0.969925","1","5.19835","5.19835"
