
filename,"10.1021Jp3046356.Isotherm20"
DOI,"10.1021/Jp3046356"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.097663"
total_adsorption,"0.712329"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.712329"
line_id,"2"
pressure,"0.14601"
total_adsorption,"1.0411"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.0411"
line_id,"3"
pressure,"0.208206"
total_adsorption,"1.31507"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.31507"
line_id,"4"
pressure,"0.283175"
total_adsorption,"1.75342"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.75342"
line_id,"5"
pressure,"0.433497"
total_adsorption,"2.13699"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.13699"
line_id,"6"
pressure,"0.618153"
total_adsorption,"2.63014"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.63014"
line_id,"7"
pressure,"0.902567"
total_adsorption,"3.12329"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.12329"
line_id,"8"
pressure,"1.83527"
total_adsorption,"3.89041"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.89041"
line_id,"9"
pressure,"2.61703"
total_adsorption,"4.27397"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.27397"
line_id,"10"
pressure,"3.82113"
total_adsorption,"4.60274"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.60274"
line_id,"11"
pressure,"5.4488"
total_adsorption,"4.76712"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.76712"
line_id,"12"
pressure,"7.76982"
total_adsorption,"5.09589"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.09589"
line_id,"13"
pressure,"11.0795"
total_adsorption,"5.20548"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.20548"
line_id,"14"
pressure,"16.5646"
total_adsorption,"5.47945"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.47945"
line_id,"15"
pressure,"25.3577"
total_adsorption,"5.69863"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.69863"
line_id,"16"
pressure,"33.6822"
total_adsorption,"5.91781"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.91781"
line_id,"17"
pressure,"51.562"
total_adsorption,"6.24658"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.24658"
line_id,"18"
pressure,"70.1278"
total_adsorption,"6.52055"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.52055"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.097663","1","0.712329","0.712329"
2,"0.14601","1","1.0411","1.0411"
3,"0.208206","1","1.31507","1.31507"
4,"0.283175","1","1.75342","1.75342"
5,"0.433497","1","2.13699","2.13699"
6,"0.618153","1","2.63014","2.63014"
7,"0.902567","1","3.12329","3.12329"
8,"1.83527","1","3.89041","3.89041"
9,"2.61703","1","4.27397","4.27397"
10,"3.82113","1","4.60274","4.60274"
11,"5.4488","1","4.76712","4.76712"
12,"7.76982","1","5.09589","5.09589"
13,"11.0795","1","5.20548","5.20548"
14,"16.5646","1","5.47945","5.47945"
15,"25.3577","1","5.69863","5.69863"
16,"33.6822","1","5.91781","5.91781"
17,"51.562","1","6.24658","6.24658"
18,"70.1278","1","6.52055","6.52055"
