
filename,"10.1021Jp308525k.isotherm21"
DOI,"10.1021/Jp308525k"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-c422d2007633d4bce61c708dc86bfc2d"
name,"Zeolite Na-Y"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"303"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"cm3(STP)/cm3"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.140083"
total_adsorption,"1.3241"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.3241"
line_id,"2"
pressure,"0.35135"
total_adsorption,"2.02832"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.02832"
line_id,"3"
pressure,"0.633041"
total_adsorption,"2.69029"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.69029"
line_id,"4"
pressure,"1.7598"
total_adsorption,"3.47903"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.47903"
line_id,"5"
pressure,"4.78797"
total_adsorption,"3.87339"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.87339"
line_id,"6"
pressure,"10.0697"
total_adsorption,"4.16917"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.16917"
line_id,"7"
pressure,"19.6471"
total_adsorption,"4.38043"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.38043"
line_id,"8"
pressure,"24.788"
total_adsorption,"4.45086"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.45086"
line_id,"9"
pressure,"29.9992"
total_adsorption,"4.45086"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.45086"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.140083","1","1.3241","1.3241"
2,"0.35135","1","2.02832","2.02832"
3,"0.633041","1","2.69029","2.69029"
4,"1.7598","1","3.47903","3.47903"
5,"4.78797","1","3.87339","3.87339"
6,"10.0697","1","4.16917","4.16917"
7,"19.6471","1","4.38043","4.38043"
8,"24.788","1","4.45086","4.45086"
9,"29.9992","1","4.45086","4.45086"
