
filename,"10.1021Jp401923v.isotherm4"
DOI,"10.1021/Jp401923v"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"303"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.000104"
total_adsorption,"0.0842701"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0842701"
line_id,"2"
pressure,"0.00053"
total_adsorption,"0.324606"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.324606"
line_id,"3"
pressure,"0.00113773"
total_adsorption,"0.696035"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.696035"
line_id,"4"
pressure,"0.00330547"
total_adsorption,"1.19856"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.19856"
line_id,"5"
pressure,"0.0104084"
total_adsorption,"1.87587"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.87587"
line_id,"6"
pressure,"0.0763123"
total_adsorption,"3.62377"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.62377"
line_id,"7"
pressure,"0.260438"
total_adsorption,"5.08763"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.08763"
line_id,"8"
pressure,"0.963321"
total_adsorption,"6.37671"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"6.37671"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.000104","1","0.0842701","0.0842701"
2,"0.00053","1","0.324606","0.324606"
3,"0.00113773","1","0.696035","0.696035"
4,"0.00330547","1","1.19856","1.19856"
5,"0.0104084","1","1.87587","1.87587"
6,"0.0763123","1","3.62377","3.62377"
7,"0.260438","1","5.08763","5.08763"
8,"0.963321","1","6.37671","6.37671"
