
filename,"10.1021La102359q.Isotherm2-1"
DOI,"10.1021/La102359q"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00819317"
total_adsorption,"0.796935"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.796935"
line_id,"2"
pressure,"0.0108773"
total_adsorption,"1.1954"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.1954"
line_id,"3"
pressure,"0.0304457"
total_adsorption,"1.77778"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.77778"
line_id,"4"
pressure,"0.11478"
total_adsorption,"2.94253"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.94253"
line_id,"5"
pressure,"0.165487"
total_adsorption,"3.341"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.341"
line_id,"6"
pressure,"0.303721"
total_adsorption,"3.86207"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.86207"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.00819317","1","0.796935","0.796935"
2,"0.0108773","1","1.1954","1.1954"
3,"0.0304457","1","1.77778","1.77778"
4,"0.11478","1","2.94253","2.94253"
5,"0.165487","1","3.341","3.341"
6,"0.303721","1","3.86207","3.86207"
