
filename,"10.1021La102359q.Isotherm2"
DOI,"10.1021/La102359q"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00811741"
total_adsorption,"1.01149"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.01149"
line_id,"2"
pressure,"0.0108773"
total_adsorption,"1.1954"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.1954"
line_id,"3"
pressure,"0.0192653"
total_adsorption,"1.44061"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.44061"
line_id,"4"
pressure,"0.0248393"
total_adsorption,"1.65517"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.65517"
line_id,"5"
pressure,"0.0360305"
total_adsorption,"1.96169"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.96169"
line_id,"6"
pressure,"0.0641275"
total_adsorption,"2.3908"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.3908"
line_id,"7"
pressure,"0.0922571"
total_adsorption,"2.72797"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.72797"
line_id,"8"
pressure,"0.111944"
total_adsorption,"2.97318"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.97318"
line_id,"9"
pressure,"0.1345"
total_adsorption,"3.09579"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.09579"
line_id,"10"
pressure,"0.154231"
total_adsorption,"3.21839"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.21839"
line_id,"11"
pressure,"0.176786"
total_adsorption,"3.341"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.341"
line_id,"12"
pressure,"0.190878"
total_adsorption,"3.43295"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.43295"
line_id,"13"
pressure,"0.21628"
total_adsorption,"3.49425"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.49425"
line_id,"14"
pressure,"0.238836"
total_adsorption,"3.61686"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.61686"
line_id,"15"
pressure,"0.269866"
total_adsorption,"3.73946"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.73946"
line_id,"16"
pressure,"0.292443"
total_adsorption,"3.80077"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.80077"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.00811741","1","1.01149","1.01149"
2,"0.0108773","1","1.1954","1.1954"
3,"0.0192653","1","1.44061","1.44061"
4,"0.0248393","1","1.65517","1.65517"
5,"0.0360305","1","1.96169","1.96169"
6,"0.0641275","1","2.3908","2.3908"
7,"0.0922571","1","2.72797","2.72797"
8,"0.111944","1","2.97318","2.97318"
9,"0.1345","1","3.09579","3.09579"
10,"0.154231","1","3.21839","3.21839"
11,"0.176786","1","3.341","3.341"
12,"0.190878","1","3.43295","3.43295"
13,"0.21628","1","3.49425","3.49425"
14,"0.238836","1","3.61686","3.61686"
15,"0.269866","1","3.73946","3.73946"
16,"0.292443","1","3.80077","3.80077"
