
filename,"10.1021La400352r.isotherm23"
DOI,"10.1021/La400352r"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-a5af8dfe1fbe638b32656537e0c7ddb4"
name,"Zeolite LS-Sr-KFI"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"303"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.000982"
total_adsorption,"0.446337"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.446337"
line_id,"2"
pressure,"0.00412105"
total_adsorption,"0.686673"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.686673"
line_id,"3"
pressure,"0.00876474"
total_adsorption,"0.795917"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.795917"
line_id,"4"
pressure,"0.0549817"
total_adsorption,"1.17827"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.17827"
line_id,"5"
pressure,"0.170535"
total_adsorption,"1.62617"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.62617"
line_id,"6"
pressure,"0.752233"
total_adsorption,"2.15054"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.15054"
line_id,"7"
pressure,"1.27575"
total_adsorption,"2.47827"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.47827"
line_id,"8"
pressure,"3.40263"
total_adsorption,"3.14466"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.14466"
line_id,"9"
pressure,"8.00282"
total_adsorption,"3.73457"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.73457"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.000982","1","0.446337","0.446337"
2,"0.00412105","1","0.686673","0.686673"
3,"0.00876474","1","0.795917","0.795917"
4,"0.0549817","1","1.17827","1.17827"
5,"0.170535","1","1.62617","1.62617"
6,"0.752233","1","2.15054","2.15054"
7,"1.27575","1","2.47827","2.47827"
8,"3.40263","1","3.14466","3.14466"
9,"8.00282","1","3.73457","3.73457"
