
filename,"10.1021acs.iecr.6b03525.Isotherm2"
DOI,"10.1021/acs.iecr.6b03525"
articleSource,"Figure 3a"
date,"2019-06-28"
digitizer,"Justin Chen"
adsorbent
hashkey,"NIST-MATDB-c422d2007633d4bce61c708dc86bfc2d"
name,"Zeolite Na-Y"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"293"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"moleratio"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00912"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.00248"
line_id,"2"
pressure,"0.0121"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.72828"
line_id,"3"
pressure,"0.21006"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.4153"
line_id,"4"
pressure,"0.59493"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.69247"
line_id,"5"
pressure,"1.00525"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.16845"
line_id,"6"
pressure,"1.53136"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.46888"
line_id,"7"
pressure,"2.03811"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.68795"
line_id,"8"
pressure,"2.54481"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.8168"
line_id,"9"
pressure,"3.04146"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.91747"
line_id,"10"
pressure,"3.52805"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.9674"
line_id,"11"
pressure,"4.05981"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.068"
line_id,"12"
pressure,"4.55143"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.14048"
line_id,"13"
pressure,"5.06811"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.17909"
line_id,"14"
pressure,"5.5898"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.18949"
line_id,"15"
pressure,"6.08641"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.21121"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.00912","1","0.00248",""
2,"0.0121","1","0.72828",""
3,"0.21006","1","2.4153",""
4,"0.59493","1","3.69247",""
5,"1.00525","1","4.16845",""
6,"1.53136","1","4.46888",""
7,"2.03811","1","4.68795",""
8,"2.54481","1","4.8168",""
9,"3.04146","1","4.91747",""
10,"3.52805","1","4.9674",""
11,"4.05981","1","5.068",""
12,"4.55143","1","5.14048",""
13,"5.06811","1","5.17909",""
14,"5.5898","1","5.18949",""
15,"6.08641","1","5.21121",""
